user_id,behavioural_data,clicks
20,4,26
20,6,12
20,9,12
20,18,2
20,19,1
21,4,21
21,6,13
21,9,56
21,18,10
22,6,4
22,9,30
22,18,8
22,19,1
23,4,4
23,6,12
23,8,1
23,9,65
23,18,19
23,19,1
24,4,11
24,6,16
24,9,24
24,16,1
24,18,10
25,4,121
25,6,79
25,9,215
25,16,3
25,18,55
26,4,3
26,5,2
26,6,21
26,9,20
26,16,2
26,18,12
26,19,5
27,4,156
27,6,42
27,9,78
27,16,1
27,18,14
27,19,3
28,4,9
28,6,34
28,9,106
28,18,18
28,19,8
29,6,4
29,9,9
29,18,3
30,6,5
30,9,14
30,18,4
30,19,1
31,4,149
31,6,44
31,9,132
31,16,1
31,18,24
32,4,41
32,6,25
32,9,28
32,18,13
32,19,3
33,4,98
33,6,22
33,9,88
33,16,1
33,18,7
33,19,4
34,4,16
34,6,41
34,9,67
34,16,1
34,18,14
34,19,7
35,6,11
35,9,13
35,16,1
35,18,5
36,4,16
36,6,15
36,9,45
36,18,11
37,4,8
37,6,19
37,9,213
37,18,4
38,6,9
38,9,33
38,18,2
38,19,2
39,4,9
39,6,14
39,9,60
39,18,8
39,19,2
40,6,30
40,9,44
40,18,28
40,19,18
41,4,13
41,6,7
41,9,35
41,18,9
42,4,101
42,6,28
42,9,10
42,18,5
42,19,1
43,4,5
43,6,9
43,9,13
43,18,8
43,19,7
44,4,16
44,6,30
44,9,109
44,16,1
44,18,14
45,4,8
45,6,15
45,9,56
45,18,11
45,19,1
46,4,26
46,6,14
46,9,30
46,18,6
47,4,93
47,6,34
47,9,23
47,18,2
48,4,10
48,6,19
48,9,25
48,18,7
48,19,1
49,4,46
49,6,19
49,9,42
49,16,4
49,18,11
49,19,2
50,4,15
50,6,7
50,9,10
51,6,35
51,9,139
51,18,26
51,19,13
52,4,35
52,6,13
52,9,50
52,18,8
52,19,2
53,4,17
53,6,63
53,9,121
53,16,1
53,18,18
53,19,4
54,4,151
54,6,30
54,9,50
54,18,11
54,19,5
55,4,7
55,6,5
55,9,6
55,18,2
56,4,12
56,6,7
56,9,3
56,18,1
57,4,23
57,6,14
57,9,33
57,18,3
58,4,1
58,6,8
58,9,82
58,16,1
58,18,9
58,19,1
59,4,49
59,6,37
59,9,39
59,18,14
59,19,3
60,4,157
60,6,72
60,9,37
60,18,21
60,19,7
61,4,7
61,6,21
61,9,47
61,16,1
61,18,15
61,19,1
62,4,20
62,6,42
62,9,109
62,16,4
62,18,33
62,19,12
64,4,2
64,6,9
64,9,6
64,18,1
66,4,37
66,6,10
66,9,83
66,18,11
66,19,1
68,6,4
68,9,19
68,18,5
69,4,12
69,6,8
69,9,68
69,18,8
70,4,29
70,6,38
70,9,97
70,18,16
70,19,9
71,4,227
71,6,102
71,9,86
71,18,31
71,19,11
72,4,91
72,6,48
72,9,99
72,16,1
72,18,30
72,19,13
73,4,65
73,6,37
73,9,84
73,16,1
73,18,20
73,19,7
74,4,4
74,6,11
74,9,52
75,4,1
75,6,23
75,9,58
75,16,1
75,18,22
75,19,7
76,4,121
76,6,35
76,9,74
76,16,1
76,18,10
76,19,4
78,4,24
78,6,49
78,9,79
78,16,5
78,18,23
78,19,15
79,4,5
79,6,11
79,9,32
79,18,4
80,6,4
81,4,32
81,6,11
81,9,15
81,18,6
81,19,1
82,4,40
82,6,17
82,9,177
82,18,19
82,19,3
83,0,4
83,4,104
83,6,39
83,9,151
83,16,2
83,18,26
83,19,4
85,4,9
85,6,10
85,9,9
85,18,3
86,4,8
86,6,4
86,9,8
86,18,2
87,6,5
87,9,103
87,16,2
87,18,8
87,19,1
88,4,5
88,6,20
88,9,43
88,18,5
88,19,2
89,4,37
89,6,14
89,9,58
89,16,2
89,18,17
89,19,1
90,4,14
90,6,25
90,9,91
90,18,20
90,19,7
92,4,101
92,6,33
92,9,18
92,18,7
92,19,3
93,4,20
93,6,19
93,9,33
93,18,13
94,4,4
94,6,7
94,9,26
94,18,2
95,4,341
95,6,176
95,9,151
95,18,53
95,19,19
96,4,34
96,6,20
96,9,71
96,16,1
96,18,5
97,4,2
97,6,1
98,4,55
98,6,33
98,9,55
98,16,10
98,18,4
98,19,1
99,4,53
99,6,16
99,9,50
99,16,1
99,18,9
99,19,2
100,4,122
100,6,59
100,9,93
100,16,4
100,18,34
100,19,12
101,4,23
101,6,17
101,9,21
101,18,6
101,19,1
102,4,385
102,6,88
102,9,155
102,18,17
102,19,15
103,4,17
103,6,9
103,9,33
103,16,1
103,18,6
105,4,4
105,6,5
105,9,23
105,16,1
105,18,8
106,6,5
106,9,21
106,16,1
106,18,5
106,19,1
107,4,17
107,6,32
107,9,50
107,16,3
107,18,6
107,19,1
108,4,61
108,6,18
108,9,6
108,18,7
108,19,1
109,4,2
109,6,14
109,9,55
109,18,7
109,19,2
110,4,6
110,6,1
110,9,25
110,16,2
110,18,2
111,6,7
111,9,4
111,16,4
111,18,9
112,4,42
112,6,22
112,9,53
112,18,17
112,19,1
113,4,41
113,6,13
113,9,90
113,18,2
114,4,1
114,6,20
114,9,12
114,16,2
114,18,4
115,4,87
115,6,31
115,9,10
115,18,3
117,4,35
117,6,11
117,9,52
117,16,1
117,18,1
118,4,41
118,6,21
118,9,46
118,16,1
118,18,12
119,6,12
119,9,36
119,18,6
119,19,2
120,4,12
120,6,8
120,9,17
120,18,6
121,4,7
121,6,7
121,9,23
121,18,6
122,6,6
122,9,30
122,18,4
123,4,21
123,6,22
123,9,83
123,18,14
123,19,2
124,6,13
124,9,19
124,18,3
125,4,61
125,6,10
125,9,36
125,18,7
125,19,3
126,6,1
126,9,4
127,4,31
127,6,22
127,9,11
127,18,6
127,19,3
128,6,10
128,9,34
128,18,13
129,4,45
129,6,23
129,9,156
129,18,13
129,19,1
130,4,9
130,6,6
131,4,14
131,6,10
131,9,23
131,18,7
132,4,78
132,6,69
132,9,87
132,18,16
132,19,11
133,4,1
133,6,22
133,9,58
133,16,1
133,18,9
133,19,1
134,6,1
134,9,1
134,18,1
135,6,19
135,9,36
135,18,6
135,19,4
136,4,36
136,6,29
136,9,69
