user_id,behavioural_data,clicks
20,6,5.0
20,14,18.0
21,4,14.0
21,6,13.0
21,14,1.0
22,4,14.0
22,6,9.0
23,4,108.0
23,6,56.0
23,14,23.0
23,16,24.0
23,18,20.0
23,19,1.0
24,4,288.0
24,6,111.0
24,10,1.0
24,16,10.0
24,18,7.0
24,19,2.0
25,4,138.0
25,6,9.0
26,6,4.0
26,19,1.0
27,4,13.0
27,6,5.0
27,14,1.0
29,4,7.0
29,6,5.0
29,14,2.0
30,4,2.0
30,6,9.0
30,14,13.0
30,16,1.0
30,18,3.0
30,19,1.0
33,4,7.0
33,6,5.0
33,14,1.0
36,4,66.0
36,6,21.0
36,14,11.0
39,4,17.0
39,6,5.0
40,6,2.0
40,16,4.0
40,18,4.0
41,6,3.0
41,14,14.0
42,4,22.0
42,6,4.0
42,18,1.0
43,4,5.0
43,6,4.0
44,4,33.0
44,6,10.0
44,16,2.0
44,18,2.0
45,4,8.0
45,6,9.0
45,14,24.0
45,18,2.0
46,6,1.0
47,4,41.0
47,6,1.0
49,4,7.0
49,6,3.0
49,18,1.0
50,4,51.0
50,6,5.0
51,4,3.0
51,6,4.0
52,4,15.0
52,6,6.0
53,6,1.0
54,4,12.0
54,6,1.0
55,4,4.0
55,6,9.0
55,14,21.0
57,6,4.0
57,14,17.0
58,6,4.0
58,14,13.0
58,16,2.0
60,4,7.0
60,6,6.0
61,4,104.0
61,6,66.0
61,19,1.0
63,4,8.0
63,6,6.0
63,14,1.0
63,18,1.0
65,4,15.0
65,6,8.0
65,19,1.0
66,4,13.0
66,6,11.0
66,14,20.0
67,4,45.0
67,6,10.0
67,14,21.0
67,18,2.0
67,19,3.0
69,4,4.0
69,6,11.0
69,18,1.0
72,4,201.0
72,6,17.0
73,4,21.0
73,6,5.0
73,16,1.0
73,18,1.0
76,4,9.0
76,6,11.0
76,14,19.0
76,18,1.0
77,4,3.0
77,6,1.0
77,18,1.0
78,6,2.0
78,16,1.0
78,18,2.0
79,4,3.0
79,6,3.0
79,14,17.0
80,6,2.0
80,14,19.0
81,4,81.0
81,6,14.0
82,4,3.0
82,6,13.0
82,14,18.0
82,16,1.0
82,18,3.0
82,19,2.0
83,4,54.0
83,6,19.0
83,16,1.0
83,18,4.0
84,4,24.0
84,6,6.0
84,16,1.0
84,18,3.0
84,19,1.0
85,4,9.0
85,6,7.0
85,16,2.0
85,18,4.0
86,6,2.0
86,14,12.0
87,4,2.0
87,6,4.0
87,14,12.0
89,4,51.0
89,6,32.0
89,16,4.0
89,18,6.0
89,19,1.0
91,4,37.0
91,6,13.0
93,6,3.0
93,14,1.0
94,4,234.0
94,6,54.0
94,14,6.0
94,18,2.0
94,19,1.0
95,4,9.0
95,6,16.0
95,14,23.0
95,16,4.0
95,18,12.0
95,19,3.0
98,6,1.0
100,4,333.0
100,6,60.0
101,6,4.0
101,14,25.0
103,4,24.0
103,6,18.0
103,14,29.0
103,16,2.0
103,18,11.0
103,19,3.0
104,4,137.0
104,6,48.0
104,14,31.0
104,16,1.0
104,18,3.0
105,4,27.0
105,6,18.0
105,16,1.0
105,18,2.0
106,4,8.0
106,6,4.0
107,4,63.0
107,6,12.0
107,18,1.0
108,4,20.0
108,6,4.0
109,4,192.0
109,5,1.0
109,6,64.0
109,10,3.0
109,16,6.0
109,18,20.0
109,19,4.0
110,4,37.0
110,6,13.0
110,19,1.0
112,4,90.0
112,6,24.0
112,16,5.0
112,18,9.0
112,19,2.0
113,4,3.0
113,6,3.0
113,14,14.0
114,4,87.0
114,6,19.0
116,4,2.0
116,6,3.0
116,18,2.0
117,4,7.0
117,6,4.0
118,4,27.0
118,6,8.0
118,14,2.0
120,4,1.0
121,4,18.0
121,6,15.0
121,14,16.0
121,18,1.0
121,19,1.0
122,4,1.0
122,6,8.0
122,14,15.0
122,18,1.0
123,4,101.0
123,6,38.0
123,14,3.0
123,16,2.0
123,18,3.0
123,19,1.0
124,6,1.0
125,4,50.0
125,6,17.0
125,14,19.0
126,4,7.0
126,6,17.0
127,4,13.0
127,6,4.0
127,14,17.0
128,4,9.0
128,6,5.0
129,6,1.0
130,4,6.0
130,6,1.0
131,4,13.0
131,6,3.0
131,14,12.0
132,4,13.0
132,6,5.0
132,14,1.0
134,4,57.0
134,6,11.0
134,14,1.0
134,16,1.0
134,18,3.0
134,19,1.0
135,6,2.0
135,14,13.0
137,4,7.0
137,6,1.0
138,4,1.0
138,6,1.0
139,4,69.0
139,6,8.0
139,14,1.0
139,16,1.0
139,19,1.0
140,4,328.0
140,6,161.0
140,14,4.0
140,16,9.0
140,18,18.0
140,19,4.0
141,4,6.0
141,6,1.0
142,4,6.0
142,6,2.0
146,4,11.0
146,6,14.0
146,14,12.0
146,18,1.0
147,4,36.0
147,6,17.0
147,10,3.0
147,14,3.0
147,16,4.0
147,18,4.0
147,19,3.0
148,4,22.0
148,6,3.0
149,4,2.0
149,6,5.0
149,16,1.0
149,18,2.0
151,4,126.0
151,6,62.0
151,14,1.0
151,16,1.0
151,18,2.0
151,19,1.0
152,4,12.0
152,6,3.0
153,4,11.0
153,6,8.0
155,4,69.0
155,6,22.0
156,4,4.0
156,6,8.0
156,14,22.0
156,18,1.0
158,4,6.0
158,6,2.0
160,6,2.0
160,14,14.0
161,6,8.0
161,14,15.0
161,18,2.0
162,6,1.0
163,4,39.0
163,6,7.0
163,19,1.0
165,4,9.0
165,6,9.0
166,4,45.0
166,6,13.0
166,18,1.0
168,4,6.0
168,6,2.0
168,14,14.0
168,18,3.0
170,4,2.0
170,6,1.0
171,4,27.0
171,6,10.0
173,16,1.0
173,18,1.0
175,6,5.0
175,14,19.0
175,18,1.0
175,19,2.0
176,4,8.0
176,6,22.0
176,14,19.0
176,16,2.0
176,18,8.0
176,19,5.0
177,4,12.0
177,6,6.0
177,16,1.0
177,18,1.0
180,4,6.0
180,6,9.0
