user_id,behavioural_data,clicks
26,6,3
26,16,2
26,18,2
31,6,2
32,4,35
32,6,6
33,4,6
33,6,29
33,8,9
33,9,12
33,14,76
33,18,14
33,19,1
34,6,5
34,18,1
35,6,11
35,9,21
35,16,6
35,18,5
37,4,7
37,6,7
38,6,2
38,9,5
41,4,152
41,6,88
41,8,1
41,9,21
41,14,98
41,16,2
41,18,4
44,4,67
44,6,38
44,12,2
44,14,26
44,16,5
44,18,16
48,6,1
53,6,1
55,4,15
55,6,5
55,14,14
55,16,1
55,18,6
55,19,1
56,4,1
56,6,7
56,16,5
57,4,18
57,6,10
57,16,1
57,18,8
58,6,6
58,9,2
58,16,2
58,18,3
60,6,1
61,6,1
64,6,1
66,4,3
66,6,5
68,6,3
69,4,11
69,6,11
69,16,8
69,18,5
70,6,6
70,16,1
70,18,2
73,6,2
73,9,19
73,14,1
73,16,5
73,18,13
76,6,2
76,16,1
76,18,1
79,6,4
79,9,1
79,18,1
81,6,1
82,4,1
82,6,7
82,8,1
82,9,9
82,16,1
82,18,4
83,6,2
84,4,21
84,6,9
84,9,7
84,14,13
84,16,4
84,18,7
87,4,9
87,6,3
87,16,6
87,18,5
88,6,2
88,9,11
88,18,2
90,6,1
92,6,1
97,6,1
97,14,8
97,16,12
102,6,1
102,16,1
102,18,2
104,6,11
104,9,3
104,16,1
104,18,10
105,6,1
110,6,2
110,16,2
110,18,3
111,6,10
111,16,7
111,18,2
113,4,25
113,6,19
113,8,1
113,9,2
113,14,33
113,16,1
113,18,3
114,6,11
114,9,10
114,14,1
114,16,3
114,18,9
118,6,2
118,16,10
121,4,3
121,6,3
122,6,5
122,16,1
122,18,1
126,6,5
126,16,1
126,18,2
127,6,5
127,14,1
127,18,1
129,4,22
129,6,5
135,6,4
135,16,1
135,18,2
136,6,25
136,16,12
136,18,15
136,19,6
138,6,1
139,4,1
139,6,12
139,9,2
139,14,87
139,16,6
139,18,16
141,4,4
141,6,17
141,9,102
141,16,2
141,18,12
141,19,2
142,6,1
143,4,9
143,6,4
143,9,10
143,16,2
143,18,6
144,4,6
144,6,5
144,14,1
146,6,7
146,16,9
146,18,1
151,4,7
151,6,2
152,4,1
152,6,8
152,14,2
152,16,2
152,18,2
156,6,1
158,6,2
158,9,13
158,16,1
161,6,1
161,18,1
167,6,1
168,4,20
168,6,19
168,14,29
168,16,3
168,18,2
168,19,4
171,6,11
171,9,24
171,16,6
171,18,9
174,4,1
174,6,2
176,4,3
176,6,7
176,14,4
176,16,4
176,18,6
177,4,37
177,6,22
177,16,1
177,18,3
179,6,1
179,16,1
179,18,1
181,4,18
181,6,15
181,9,2
181,16,5
181,18,6
184,6,4
184,9,1
184,14,117
184,18,1
187,6,3
187,16,2
187,18,1
188,6,6
188,9,1
188,16,2
188,18,3
189,6,4
189,16,2
189,18,4
190,4,2
190,6,1
190,9,6
197,4,1
197,6,15
197,9,6
197,16,4
197,18,4
200,6,1
200,16,2
202,6,2
202,16,1
204,6,11
204,14,19
204,16,1
204,18,3
204,19,3
206,6,1
207,6,7
207,9,6
207,16,1
207,18,2
208,6,20
208,9,7
208,14,24
208,16,16
208,18,7
211,6,4
211,9,3
211,16,1
211,18,7
218,4,7
218,6,8
218,16,3
218,18,3
220,6,9
220,9,26
220,16,1
220,18,2
225,4,1
225,6,11
225,9,11
225,16,4
225,18,5
225,19,1
226,6,2
229,4,10
229,6,1
231,6,6
231,16,1
232,6,6
232,16,4
234,4,4
234,6,3
236,4,116
236,6,89
236,8,1
236,9,21
236,14,3
236,16,6
236,18,4
236,19,1
238,6,1
244,6,1
244,16,1
244,18,6
246,6,3
246,16,1
246,18,1
251,4,18
251,6,9
251,16,2
251,18,4
256,6,1
257,6,5
260,6,2
260,14,1
260,16,1
260,18,2
262,4,3
264,4,1
264,6,2
265,4,1
265,6,4
265,16,1
265,18,7
266,4,15
266,6,6
266,9,1
266,18,3
267,6,14
267,9,15
267,14,1
267,16,4
267,18,7
272,4,94
272,6,13
276,6,3
276,16,2
276,18,2
279,6,4
279,18,2
280,4,14
280,6,3
280,16,1
280,18,7
282,6,5
282,16,3
282,18,3
283,6,6
283,16,1
283,18,2
284,4,2
284,6,2
285,6,2
285,14,1
285,16,3
285,18,2
290,6,1
292,6,15
292,9,11
292,14,13
292,16,11
292,18,9
298,6,9
298,9,1
298,16,1
298,18,1
300,6,5
301,6,2
301,18,1
302,4,8
302,6,6
302,16,10
302,18,12
303,4,13
303,6,14
303,9,157
303,14,28
303,16,1
303,18,2
304,4,7
304,6,4
304,16,2
304,18,3
306,6,3
306,14,26
307,4,7
307,6,3
308,6,1
308,16,1
308,18,1
310,4,24
310,6,10
311,6,2
311,16,2
312,6,1
312,16,1
312,18,1
314,4,9
314,6,9
314,9,120
314,14,42
314,16,1
316,6,4
316,9,1
316,16,1
316,18,7
318,9,44
319,6,7
319,12,2
319,14,121
319,16,10
319,18,15
320,6,2
327,4,9
327,6,6
327,16,4
327,18,3
328,4,26
328,6,26
328,9,12
328,14,36
328,16,13
328,18,12
330,6,3
331,4,135
331,6,53
331,9,38
331,14,9
331,16,5
331,18,14
331,19,2
334,6,4
334,9,5
334,16,1
334,18,1
338,6,2
338,16,1
338,18,2
346,6,10
346,14,16
346,16,2
346,18,3
347,6,8
347,16,1
347,18,1
348,4,29
348,6,11
348,12,1
348,16,7
348,18,10
349,6,4
349,16,10
349,18,2
351,6,3
351,9,2
351,18,1
352,6,2
353,4,9
353,6,24
353,14,34
353,16,10
353,18,7
354,4,9
354,6,18
354,9,1
354,14,38
354,16,7
354,18,11
356,6,3
356,16,2
356,18,2
358,6,6
358,12,1
358,16,4
358,18,1
360,6,1
360,16,1
360,18,2
361,6,5
362,4,156
362,6,82
362,8,1
362,9,1
362,14,56
362,16,18
362,18,8
368,6,1
370,6,1
372,6,11
372,9,22
372,16,1
372,18,12
373,4,1
373,6,6
373,16,1
373,18,3
377,6,10
377,9,16
377,16,1
377,18,5
378,6,3
378,9,55
378,16,3
378,18,7
380,6,1
385,6,3
386,6,2
386,16,1
386,18,1
387,6,4
387,9,48
387,16,4
387,18,8
388,4,7
388,6,13
388,16,4
388,18,2
389,4,49
389,6,13
389,9,8
389,16,1
389,18,5
390,6,6
390,9,3
390,14,1
390,16,6
390,18,15
391,4,10
391,6,4
391,9,1
391,16,3
391,18,5
395,6,1
396,6,2
397,6,1
398,4,1
398,6,11
398,16,8
398,18,20
398,19,1
399,6,3
399,14,2
399,18,4
400,6,4
400,16,1
400,18,3
401,6,1
402,6,7
402,9,2
402,16,2
402,18,3
407,4,7
407,6,3
407,9,20
407,16,4
407,18,14
409,4,4
409,6,1
416,6,4
416,8,1
416,9,35
416,16,2
416,18,4
420,6,7
420,9,11
420,16,1
420,18,3
422,4,30
422,6,36
422,9,1
422,16,1
422,18,3
423,6,1
424,6,3
424,16,1
426,6,1
431,4,15
431,6,11
431,8,1
431,16,4
431,18,3
435,4,11
435,6,2
435,16,1
435,18,3
435,19,2
437,6,8
437,9,5
437,16,2
437,18,6
439,16,6
440,6,4
440,9,7
440,18,2
440,19,1
442,6,1
442,9,1
442,16,1
442,18,4
443,6,1
444,6,7
444,12,2
444,14,3
444,16,4
444,18,5
446,6,1
448,4,15
448,6,9
449,6,4
449,9,2
449,16,1
449,18,1
450,4,2
450,6,4
450,18,1
452,6,3
452,16,1
452,18,1
455,4,14
455,6,7
455,14,67
455,16,1
455,18,3
455,19,1
456,4,14
456,6,9
456,9,8
456,18,5
459,6,5
459,14,1
459,16,2
460,6,2
461,6,10
461,9,24
461,18,2
462,6,10
462,9,22
462,18,1
464,6,1
466,6,4
466,9,415
466,16,1
471,6,2
473,6,5
473,16,4
473,18,4
474,4,96
474,6,91
474,9,4
474,12,1
474,14,59
474,16,2
474,18,41
475,6,1
475,14,15
475,16,1
475,18,4
475,19,1
476,4,9
476,6,10
476,8,1
476,9,1
476,16,1
476,18,3
477,6,2
477,9,1
477,16,2
477,18,2
479,6,1
482,6,13
482,16,10
487,6,2
487,16,1
487,18,1
488,4,12
488,6,1
488,16,1
488,18,1
491,6,6
491,9,12
498,4,3
498,6,3
498,16,1
498,18,1
500,6,4
500,16,3
500,18,3
504,6,6
504,8,2
504,18,2
507,6,2
508,6,8
508,8,1
508,16,2
508,18,4
513,4,23
513,6,11
513,9,25
513,16,5
513,18,5
515,6,4
515,16,2
516,6,1
516,16,11
516,18,1
519,4,1
519,6,3
519,9,6
520,6,5
520,9,7
520,14,1
520,16,9
520,18,25
520,19,1
521,16,1
521,18,1
523,6,1
524,4,64
524,6,27
524,9,3
524,12,1
524,14,52
524,16,5
524,18,12
526,6,1
530,4,35
530,6,16
530,9,3
531,4,6
531,6,15
531,12,1
531,14,43
531,16,5
531,18,6
533,6,3
534,6,7
534,9,30
534,16,3
535,6,5
535,9,11
535,16,2
535,18,32
537,6,1
539,6,2
542,6,5
549,6,1
551,4,37
551,6,34
551,8,2
551,9,1
551,14,20
551,16,15
551,18,12
552,6,2
552,16,2
554,4,13
554,6,2
554,16,3
554,18,3
557,4,1
557,6,2
557,18,2
558,6,14
558,8,1
558,9,22
558,16,4
558,18,18
558,19,2
559,6,1
559,16,1
559,18,1
562,4,29
562,6,4
562,14,4
562,16,1
562,18,3
563,6,3
563,16,2
563,18,3
564,4,6
564,6,4
564,9,6
564,16,2
564,18,5
565,6,2
566,6,1
567,6,8
569,4,76
569,6,10
569,12,1
569,16,4
569,18,6
569,19,1
570,4,22
570,6,8
574,6,1
580,6,2
580,9,3
581,6,2
581,9,14
581,18,4
584,6,1
587,6,7
587,16,5
590,6,5
590,9,11
590,16,1
590,18,4
595,4,17
595,6,17
595,9,3
595,16,3
595,18,2
597,4,6
597,6,6
597,16,1
597,18,1
598,4,3
598,6,8
598,9,1
598,16,1
598,18,4
598,19,2
604,6,5
604,16,1
604,18,2
606,4,50
606,6,39
607,6,7
607,9,79
607,18,18
610,4,2
610,6,4
610,9,3
610,18,1
614,6,5
614,14,2
614,18,2
615,4,2
615,6,11
615,9,20
615,16,16
615,18,18
616,6,4
616,9,5
616,14,2
616,16,1
616,18,2
617,6,4
618,4,20
618,6,29
618,8,1
618,9,1
618,16,17
618,18,5
620,4,10
620,6,5
620,18,1
620,19,3
627,6,3
627,9,3
627,18,1
630,6,4
639,6,4
639,9,18
639,18,1
640,6,1
641,4,13
641,6,12
641,14,23
641,16,7
641,18,11
642,6,12
642,8,1
642,9,4
642,14,43
642,18,5
642,19,1
643,6,3
643,16,1
643,18,2
644,6,3
644,9,5
644,16,4
644,18,1
645,4,11
645,6,2
645,16,3
645,18,4
648,4,3
648,6,7
650,6,1
652,4,22
652,6,12
652,9,38
652,16,1
652,18,3
656,6,6
656,9,26
657,4,22
657,6,34
657,9,7
657,14,26
657,16,6
657,18,18
657,19,1
658,16,1
658,18,1
659,4,7
659,6,1
660,4,3
660,6,3
660,16,1
660,18,4
667,6,12
667,14,82
667,16,2
667,18,5
668,6,2
669,6,3
669,16,3
669,18,5
670,4,3
670,6,7
670,16,1
670,18,1
673,6,1
673,9,3
677,6,12
677,9,14
677,16,4
677,18,8
677,19,2
683,4,10
683,6,5
683,9,7
683,16,1
683,18,1
684,6,6
684,9,1
684,16,4
684,18,2
685,4,6
685,6,13
685,9,34
685,16,5
685,18,4
687,6,3
687,16,3
687,18,3
688,6,2
691,6,19
691,9,6
691,14,5
691,16,11
691,18,3
692,6,10
692,9,1
692,14,16
692,16,7
692,18,6
693,6,2
693,16,1
693,18,1
694,6,1
695,6,5
695,14,55
695,16,1
696,4,18
696,6,8
696,19,1
697,4,16
697,6,12
697,16,12
697,18,7
706,6,5
706,16,1
706,18,2
706,19,2
707,6,1
708,6,3
708,9,3
708,16,2
708,18,1
710,4,2
710,6,4
710,16,2
710,18,2
711,6,1
718,6,1
720,6,4
720,16,5
720,18,7
720,19,1
728,6,4
730,6,1
730,16,1
730,18,1
731,6,10
731,9,35
731,16,1
731,18,7
733,6,5
733,8,1
733,9,12
733,16,1
733,18,4
733,19,1
735,6,3
736,6,2
736,9,8
736,16,2
736,18,2
740,6,3
741,4,5
741,6,3
741,16,1
741,18,2
745,4,11
745,6,16
745,8,2
745,16,5
745,18,7
745,19,1
746,4,12
746,6,6
746,9,8
746,16,12
746,18,23
747,6,3
747,9,11
749,6,4
749,16,3
749,18,4
750,6,7
750,9,11
750,16,2
751,6,1
754,4,19
754,6,4
754,16,3
754,18,5
755,6,3
755,9,3
755,16,1
756,6,5
756,14,1
756,16,1
756,18,4
759,6,8
759,16,5
759,19,1
760,4,9
760,6,4
762,6,3
762,16,1
763,6,1
765,4,20
765,6,3
765,14,133
765,18,1
767,6,2
768,6,1
769,4,5
769,6,12
769,8,3
769,16,5
769,18,5
770,6,7
770,16,1
770,18,3
771,6,7
771,14,5
771,16,3
774,6,3
774,14,1
774,16,1
774,18,2
775,6,2
777,6,2
777,16,18
777,18,1
779,6,9
779,14,31
779,16,2
779,18,11
780,6,3
782,4,12
782,6,16
782,9,3
782,16,6
782,18,8
783,4,19
783,6,11
783,12,2
783,16,7
783,18,9
783,19,1
784,6,1
784,8,2
784,18,1
786,6,3
786,14,2
786,16,2
786,18,7
788,6,13
788,18,2
789,4,6
789,6,4
789,18,7
793,6,2
793,16,3
793,18,5
794,4,2
794,6,5
794,9,4
794,14,19
794,16,5
794,18,2
796,6,1
797,4,9
797,6,13
797,8,1
797,12,1
797,14,33
797,16,8
797,18,13
801,6,1
804,4,9
804,6,19
804,9,5
804,12,2
804,16,13
804,18,10
810,4,5
810,6,8
810,9,1
810,14,1
810,16,6
810,18,2
813,6,12
813,9,375
813,14,2
813,16,12
814,6,3
814,16,3
814,18,1
815,4,13
815,6,12
815,14,39
815,16,11
815,18,2
816,6,3
818,6,3
818,16,2
818,18,1
820,4,1
820,6,14
820,9,16
820,16,1
820,18,4
825,6,2
825,14,12
825,16,1
825,18,3
828,6,3
828,16,1
828,18,2
829,6,7
829,16,5
829,18,1
830,4,68
830,6,27
830,9,14
830,18,1
832,4,1
832,6,7
832,9,15
832,14,1
832,16,2
832,18,8
833,6,9
833,16,12
833,18,6
834,6,2
834,16,1
834,18,1
835,6,1
836,6,12
836,9,6
836,16,8
836,18,4
836,19,2
837,6,1
839,6,2
839,9,10
843,6,2
844,4,17
844,6,29
844,9,22
844,16,5
844,18,13
845,6,3
846,16,28
848,6,8
848,9,5
848,14,28
848,16,2
848,18,13
849,6,12
849,14,55
852,6,2
852,16,2
852,18,1
854,6,3
854,16,1
854,18,1
