user_id,behavioural_data,clicks
21,2,1.0
21,6,7.0
21,9,8.0
21,16,1.0
21,18,10.0
22,2,1.0
22,6,2.0
22,9,5.0
22,18,1.0
23,2,2.0
23,6,4.0
23,9,28.0
23,16,3.0
23,18,4.0
24,2,1.0
24,6,5.0
24,9,12.0
24,16,3.0
24,18,5.0
25,2,3.0
25,4,14.0
25,6,14.0
25,9,3.0
25,10,5.0
25,16,2.0
25,18,6.0
29,2,3.0
29,4,5.0
29,6,6.0
29,9,2.0
29,16,2.0
29,18,11.0
29,19,1.0
30,2,1.0
30,6,10.0
30,9,3.0
30,16,4.0
30,18,15.0
30,19,2.0
31,2,4.0
31,6,11.0
31,9,6.0
31,16,8.0
31,18,8.0
32,2,1.0
32,4,19.0
32,6,21.0
32,9,31.0
32,16,5.0
32,18,13.0
32,19,3.0
33,2,1.0
33,6,16.0
33,9,47.0
33,16,5.0
33,18,1.0
35,2,3.0
35,6,17.0
35,9,11.0
35,16,8.0
35,18,16.0
35,19,1.0
36,4,22.0
36,6,14.0
36,9,7.0
36,16,2.0
36,18,1.0
36,19,1.0
37,2,2.0
37,6,2.0
37,9,7.0
37,16,2.0
37,18,14.0
37,19,1.0
38,6,3.0
38,9,10.0
38,16,2.0
39,6,7.0
39,9,20.0
39,16,1.0
39,18,3.0
41,2,8.0
41,4,39.0
41,6,197.0
41,9,1.0
41,10,12.0
41,11,8.0
41,16,2.0
41,18,47.0
41,19,77.0
42,2,2.0
42,4,7.0
42,6,13.0
42,16,2.0
42,18,11.0
44,2,2.0
44,6,4.0
44,9,9.0
44,18,3.0
45,2,1.0
45,4,12.0
45,6,13.0
45,9,30.0
45,11,11.0
45,16,7.0
45,18,10.0
46,13,0.001
47,2,2.0
47,4,3.0
47,6,31.0
47,9,16.0
47,16,1.0
47,18,9.0
47,19,1.0
49,2,1.0
49,6,4.0
49,9,4.0
49,18,1.0
50,6,1.0
51,2,2.0
51,6,2.0
51,18,2.0
52,4,11.0
52,6,19.0
52,9,20.0
52,10,2.0
52,11,1.0
52,16,7.0
52,18,13.0
52,19,7.0
53,2,2.0
53,4,11.0
53,6,25.0
53,9,1.0
53,16,11.0
53,18,107.0
53,19,4.0
55,2,2.0
55,4,3.0
55,6,7.0
55,9,5.0
55,18,9.0
59,2,2.0
59,4,21.0
59,6,10.0
59,9,4.0
59,18,5.0
61,2,1.0
61,4,12.0
61,6,51.0
61,9,47.0
61,11,2.0
61,16,8.0
61,18,14.0
61,19,4.0
64,2,1.0
64,4,25.0
64,6,44.0
64,9,17.0
64,11,4.0
64,16,13.0
64,18,15.0
64,19,12.0
65,2,1.0
65,4,9.0
65,6,7.0
65,9,12.0
65,16,2.0
65,18,1.0
66,2,5.0
66,6,6.0
66,16,2.0
66,18,5.0
67,2,1.0
67,6,8.0
67,9,23.0
67,10,2.0
67,16,1.0
67,18,2.0
67,19,1.0
70,6,6.0
70,9,10.0
70,16,2.0
70,18,10.0
73,2,1.0
73,4,10.0
73,6,6.0
73,18,1.0
76,4,12.0
76,6,5.0
76,18,10.0
76,19,1.0
77,4,2.0
77,6,4.0
77,9,2.0
78,2,2.0
78,4,13.0
78,6,27.0
78,9,12.0
78,16,10.0
78,18,22.0
78,19,2.0
79,2,1.0
79,4,78.0
79,6,15.0
79,9,13.0
79,10,2.0
79,11,2.0
79,18,22.0
79,19,15.0
82,6,6.0
82,9,14.0
82,18,5.0
82,19,2.0
83,2,9.0
83,5,1.0
83,6,16.0
83,9,14.0
83,16,8.0
83,18,10.0
84,2,2.0
84,6,11.0
84,9,42.0
84,10,1.0
84,16,4.0
84,18,20.0
84,19,1.0
85,6,1.0
85,16,12.0
85,18,9.0
86,2,2.0
86,4,12.0
86,6,33.0
86,9,14.0
86,16,14.0
86,18,46.0
86,19,3.0
87,2,1.0
87,4,4.0
87,6,19.0
87,9,10.0
87,16,5.0
87,18,13.0
87,19,3.0
88,2,1.0
88,6,1.0
88,18,1.0
91,2,3.0
91,6,9.0
91,9,9.0
91,16,6.0
91,18,4.0
92,2,3.0
92,4,15.0
92,6,23.0
92,9,7.0
92,16,7.0
92,18,13.0
93,2,2.0
93,4,6.0
93,6,13.0
93,9,10.0
93,16,8.0
93,18,25.0
94,2,1.0
94,4,24.0
94,6,32.0
94,9,20.0
94,11,26.0
94,16,8.0
94,18,26.0
94,19,2.0
95,2,3.0
95,6,3.0
95,9,7.0
95,16,1.0
95,18,4.0
96,2,3.0
96,6,14.0
96,9,26.0
96,16,1.0
96,18,6.0
96,19,1.0
97,2,2.0
97,6,11.0
97,9,26.0
97,16,6.0
97,18,34.0
97,19,3.0
98,6,11.0
98,9,5.0
98,11,1.0
98,16,1.0
98,18,1.0
98,19,1.0
99,2,1.0
99,4,6.0
99,6,5.0
99,9,2.0
99,16,1.0
99,18,9.0
99,19,1.0
100,2,1.0
100,4,12.0
100,6,22.0
100,9,8.0
100,11,14.0
100,16,4.0
100,18,18.0
101,4,16.0
101,6,45.0
101,9,9.0
101,16,6.0
101,18,18.0
101,19,15.0
103,2,1.0
103,6,12.0
103,9,24.0
103,16,9.0
103,18,15.0
104,2,2.0
104,4,1.0
104,6,17.0
104,16,2.0
104,18,8.0
104,19,1.0
106,2,3.0
106,6,9.0
106,9,9.0
106,18,9.0
107,2,1.0
107,4,16.0
107,6,71.0
107,9,8.0
107,10,5.0
107,11,1.0
107,16,3.0
107,18,5.0
107,19,3.0
108,2,1.0
108,4,9.0
108,6,6.0
108,9,8.0
108,16,3.0
108,18,5.0
112,6,1.0
115,2,1.0
115,4,25.0
115,6,14.0
115,9,15.0
115,11,20.0
115,16,2.0
115,18,3.0
115,19,1.0
116,2,2.0
116,4,22.0
116,6,42.0
116,9,12.0
116,10,2.0
116,11,10.0
116,16,5.0
116,18,25.0
116,19,1.0
117,6,14.0
117,9,13.0
117,16,8.0
117,18,26.0
118,2,1.0
118,6,1.0
118,18,1.0
120,2,1.0
120,6,14.0
120,9,45.0
120,16,3.0
120,18,4.0
121,2,1.0
121,4,15.0
121,6,26.0
121,9,6.0
121,16,4.0
121,18,13.0
121,19,5.0
122,2,8.0
122,4,37.0
122,6,35.0
122,9,15.0
122,16,4.0
122,18,13.0
123,2,1.0
123,6,7.0
123,9,15.0
123,16,2.0
123,18,5.0
125,2,1.0
125,4,8.0
125,6,6.0
125,9,7.0
125,10,7.0
125,11,7.0
125,16,3.0
125,18,8.0
128,2,2.0
128,4,8.0
128,6,19.0
128,9,27.0
128,10,1.0
128,11,2.0
128,16,4.0
128,18,37.0
129,4,2.0
129,6,23.0
129,9,5.0
129,16,13.0
129,18,8.0
129,19,1.0
130,2,2.0
130,4,7.0
130,6,8.0
130,16,4.0
130,18,13.0
130,19,2.0
131,2,2.0
131,6,8.0
131,9,13.0
131,16,1.0
131,18,2.0
133,6,14.0
133,9,23.0
133,16,7.0
133,18,23.0
133,19,2.0
134,2,1.0
134,4,10.0
134,6,13.0
134,9,2.0
134,10,1.0
134,16,5.0
134,18,3.0
135,2,6.0
135,4,13.0
135,6,9.0
135,9,4.0
135,16,6.0
135,18,24.0
136,2,1.0
136,4,26.0
136,6,30.0
136,9,53.0
136,11,1.0
136,16,7.0
136,18,11.0
136,19,1.0
137,4,5.0
137,5,14.0
137,6,19.0
137,9,20.0
137,16,3.0
137,18,26.0
137,19,3.0
138,2,1.0
138,6,1.0
138,18,1.0
139,2,1.0
139,4,17.0
139,5,5.0
139,6,26.0
139,9,3.0
139,10,4.0
139,16,6.0
139,18,25.0
139,19,11.0
140,2,3.0
140,6,10.0
140,9,1.0
140,16,2.0
140,18,13.0
141,2,2.0
141,6,4.0
141,18,5.0
142,2,3.0
142,5,13.0
142,6,15.0
142,9,10.0
142,16,1.0
142,18,7.0
143,2,1.0
143,6,13.0
143,9,42.0
143,16,5.0
143,18,17.0
143,19,1.0
144,2,2.0
144,4,1.0
144,6,8.0
144,9,3.0
144,16,3.0
144,18,10.0
144,19,1.0
145,4,11.0
145,6,7.0
145,9,20.0
145,16,2.0
146,6,4.0
146,9,9.0
148,2,1.0
148,4,6.0
148,6,13.0
148,9,30.0
148,16,5.0
148,18,9.0
150,2,1.0
150,4,59.0
150,6,31.0
150,9,12.0
150,10,7.0
150,11,12.0
150,16,1.0
150,18,9.0
150,19,3.0
151,6,1.0
153,2,1.0
153,6,2.0
153,16,1.0
153,18,1.0
154,2,1.0
154,4,6.0
154,6,14.0
154,9,10.0
154,11,3.0
154,16,2.0
154,18,15.0
154,19,1.0
155,2,1.0
155,6,7.0
155,9,29.0
155,16,2.0
155,18,15.0
156,6,11.0
156,9,21.0
156,18,7.0
156,19,1.0
158,2,6.0
158,6,47.0
158,9,14.0
158,16,4.0
158,18,18.0
158,19,9.0
161,2,1.0
161,4,15.0
161,6,21.0
161,9,2.0
161,11,6.0
161,16,3.0
161,18,33.0
161,19,2.0
163,2,2.0
163,6,4.0
163,18,2.0
164,2,1.0
164,4,1.0
164,6,6.0
164,9,4.0
164,16,10.0
164,18,5.0
166,2,2.0
166,4,20.0
166,6,25.0
166,9,23.0
166,11,1.0
166,16,5.0
166,18,12.0
166,19,2.0
167,2,1.0
167,6,2.0
167,18,1.0
171,4,25.0
171,6,16.0
171,9,8.0
171,10,4.0
171,11,3.0
171,16,1.0
171,18,1.0
171,19,1.0
172,2,1.0
172,4,22.0
172,6,27.0
172,9,21.0
172,16,11.0
172,18,13.0
172,19,1.0
173,2,1.0
173,4,5.0
173,6,18.0
173,9,10.0
173,11,3.0
173,16,2.0
173,18,13.0
173,19,4.0
176,6,7.0
176,9,4.0
176,16,4.0
176,18,7.0
177,2,1.0
177,4,88.0
177,6,31.0
177,9,9.0
177,10,4.0
177,11,7.0
177,16,4.0
177,18,16.0
177,19,3.0
181,2,3.0
181,4,46.0
181,5,3.0
181,6,94.0
181,9,28.0
181,11,9.0
181,16,18.0
181,18,56.0
181,19,26.0
182,2,1.0
182,4,20.0
182,6,5.0
182,18,7.0
182,19,1.0
183,2,6.0
183,6,15.0
183,9,24.0
183,16,5.0
183,18,12.0
184,2,2.0
184,6,7.0
184,9,3.0
184,18,3.0
184,19,2.0
186,2,1.0
186,6,6.0
186,16,1.0
186,18,1.0
186,19,1.0
188,2,3.0
188,4,13.0
188,6,5.0
188,10,2.0
188,18,2.0
191,2,1.0
191,6,4.0
191,16,2.0
191,18,3.0
193,2,4.0
193,4,27.0
193,5,9.0
193,6,38.0
193,9,35.0
193,10,4.0
193,11,5.0
193,16,17.0
193,18,76.0
193,19,1.0
197,2,1.0
197,4,28.0
197,6,22.0
197,9,8.0
197,10,1.0
197,11,13.0
197,16,10.0
197,18,7.0
197,19,4.0
198,4,15.0
198,6,10.0
198,9,2.0
198,10,3.0
198,11,2.0
198,16,3.0
198,18,23.0
198,19,3.0
200,6,1.0
200,9,2.0
200,16,1.0
200,18,3.0
201,2,1.0
201,6,4.0
201,9,4.0
201,16,2.0
201,18,5.0
203,2,1.0
203,4,29.0
203,6,10.0
203,9,7.0
203,10,9.0
203,11,4.0
203,16,25.0
203,18,34.0
203,19,1.0
205,4,26.0
205,6,15.0
205,9,2.0
205,11,3.0
205,16,3.0
205,18,3.0
207,2,3.0
207,6,5.0
207,18,2.0
209,2,2.0
209,5,17.0
209,6,5.0
209,18,6.0
210,2,1.0
210,4,1.0
210,6,14.0
210,9,1.0
210,16,10.0
210,18,27.0
210,19,2.0
212,2,3.0
212,6,9.0
212,9,24.0
212,16,1.0
212,18,31.0
214,2,2.0
214,5,4.0
214,6,26.0
214,9,7.0
214,10,1.0
214,16,3.0
214,18,15.0
214,19,4.0
217,4,6.0
217,6,5.0
217,9,13.0
217,16,3.0
217,18,3.0
218,2,2.0
218,4,5.0
218,6,10.0
218,9,47.0
218,16,2.0
218,18,32.0
218,19,1.0
219,2,1.0
219,6,3.0
219,9,1.0
219,18,2.0
220,2,9.0
220,4,16.0
220,6,30.0
220,9,81.0
220,16,10.0
220,18,69.0
221,2,1.0
221,6,8.0
221,16,3.0
221,18,3.0
223,4,30.0
223,6,9.0
223,9,20.0
223,11,69.0
228,2,1.0
228,4,4.0
228,6,7.0
228,9,11.0
228,16,2.0
228,18,5.0
229,2,1.0
229,4,3.0
229,6,11.0
229,9,2.0
229,16,3.0
229,18,23.0
229,19,5.0
230,2,1.0
230,4,26.0
230,6,16.0
230,9,15.0
230,11,1.0
230,16,4.0
230,18,5.0
231,2,1.0
231,6,9.0
231,9,29.0
231,16,3.0
231,18,3.0
232,2,1.0
232,6,1.0
232,18,1.0
238,2,1.0
238,4,5.0
238,5,11.0
238,6,15.0
238,9,4.0
238,16,3.0
238,18,14.0
239,2,1.0
239,4,111.0
239,6,62.0
239,9,1.0
239,11,4.0
239,16,6.0
239,18,62.0
239,19,22.0
240,6,9.0
240,9,9.0
240,18,5.0
243,4,15.0
243,6,14.0
243,9,6.0
243,16,1.0
244,6,3.0
244,16,2.0
244,18,1.0
245,2,1.0
245,4,2.0
245,6,11.0
245,9,18.0
245,16,2.0
245,18,3.0
247,4,2.0
247,6,6.0
247,9,2.0
247,16,11.0
247,18,11.0
247,19,2.0
249,2,1.0
249,6,5.0
249,9,15.0
249,16,2.0
249,18,4.0
250,2,2.0
250,4,59.0
250,5,6.0
250,6,73.0
250,9,3.0
250,16,7.0
250,18,49.0
252,4,17.0
