user_id,behavioural_data,clicks
21,4,27.0
21,6,5.0
21,9,28.0
21,19,4.0
23,4,63.0
23,6,23.0
23,9,76.0
23,18,1.0
23,19,7.0
24,4,47.0
24,6,9.0
24,9,5.0
24,16,1.0
24,19,3.0
25,6,10.0
25,9,72.0
25,19,1.0
26,4,30.0
26,6,12.0
26,9,9.0
26,16,8.0
26,18,3.0
26,19,1.0
27,6,6.0
27,9,8.0
27,19,1.0
28,4,186.0
28,6,39.0
28,9,52.0
28,16,2.0
28,18,1.0
28,19,20.0
29,6,6.0
29,9,5.0
29,19,1.0
30,4,22.0
30,6,18.0
30,9,26.0
30,16,2.0
30,18,1.0
30,19,6.0
31,6,11.0
31,9,20.0
31,18,3.0
31,19,5.0
32,6,1.0
33,4,10.0
33,6,12.0
33,9,36.0
33,19,3.0
35,9,1.0
38,4,38.0
38,6,8.0
38,8,1.0
38,9,6.0
38,19,5.0
40,4,5.0
40,6,6.0
40,9,10.0
40,19,3.0
42,6,2.0
42,9,9.0
44,4,25.0
44,6,24.0
44,9,52.0
45,4,32.0
45,6,12.0
45,9,3.0
45,19,2.0
48,4,47.0
48,6,13.0
48,9,5.0
48,19,1.0
49,4,5.0
49,6,7.0
50,6,4.0
50,9,29.0
51,4,5.0
51,6,4.0
51,9,20.0
52,6,18.0
52,9,22.0
52,19,11.0
53,9,1.0
54,4,31.0
54,6,34.0
54,9,58.0
54,18,2.0
54,19,10.0
56,6,14.0
56,9,48.0
56,19,6.0
58,4,8.0
58,6,25.0
58,9,118.0
58,19,8.0
59,6,15.0
59,9,42.0
59,19,5.0
60,6,3.0
60,9,31.0
60,19,1.0
61,4,12.0
61,6,13.0
61,9,41.0
62,6,14.0
62,9,76.0
62,19,1.0
63,6,10.0
63,9,21.0
63,19,1.0
64,6,11.0
64,9,38.0
64,16,2.0
64,18,1.0
64,19,2.0
65,4,24.0
65,6,18.0
65,9,48.0
65,18,3.0
65,19,7.0
66,4,4.0
66,6,9.0
66,9,12.0
66,19,4.0
67,4,11.0
67,6,12.0
67,9,21.0
