user_id,behavioural_data,clicks
20,4,14.0
20,6,8.0
20,9,55.0
20,10,6.0
20,13,3.0
20,18,1.0
22,4,9.0
22,6,10.0
22,9,39.0
22,13,3.0
22,14,67.0
22,18,3.0
23,4,15.0
23,6,5.0
23,9,3.0
23,18,1.0
24,4,2.0
24,6,2.0
24,9,7.0
24,18,1.0
25,4,53.0
25,6,28.0
25,9,18.0
25,14,80.0
25,16,1.0
25,18,12.0
26,4,4.0
26,6,5.0
27,4,39.0
27,6,16.0
27,14,1.0
27,18,9.0
27,19,3.0
28,4,52.0
28,6,39.0
28,9,69.0
28,14,31.0
28,18,20.0
30,4,21.0
30,6,18.0
30,9,6.0
30,10,3.0
30,14,13.0
30,16,2.0
30,18,8.0
31,4,26.0
31,6,10.0
31,9,48.0
31,10,3.0
31,11,3.0
31,18,8.0
32,6,1.0
33,1,4.0
33,4,38.0
33,6,73.0
33,9,254.0
33,11,1.0
33,13,4.0
33,14,19.0
33,16,1.0
33,18,58.0
33,19,7.0
35,1,7.0
35,4,51.0
35,6,69.0
35,9,78.0
35,11,1.0
35,13,3.0
35,18,33.0
35,19,2.0
36,4,11.0
36,6,4.0
37,1,1.0
37,4,26.0
37,6,19.0
37,9,154.0
37,14,99.0
37,16,1.0
37,18,21.0
37,19,2.0
38,4,19.0
38,6,12.0
38,9,2.0
38,14,57.0
38,18,9.0
39,6,4.0
39,9,2.0
39,18,2.0
42,4,31.0
42,6,21.0
42,9,158.0
42,10,1.0
42,13,10.0
42,14,211.0
42,16,2.0
42,18,21.0
43,4,9.0
43,6,13.0
43,9,12.0
43,14,39.0
43,16,1.0
43,18,19.0
44,4,15.0
44,6,5.0
44,9,4.0
44,18,2.0
45,4,6.0
45,6,18.0
45,9,81.0
45,13,3.0
45,14,19.0
45,18,5.0
46,4,3.0
46,6,6.0
46,9,48.0
46,13,6.0
46,18,3.0
47,1,5.0
47,4,31.0
47,6,33.0
47,9,60.0
47,13,8.0
47,16,1.0
47,18,15.0
49,1,1.0
49,4,5.0
49,6,24.0
49,9,125.0
49,13,9.0
49,14,31.0
49,16,3.0
49,18,14.0
50,1,1.0
50,4,20.0
50,6,11.0
50,9,49.0
50,13,3.0
50,18,3.0
52,4,25.0
52,6,14.0
52,9,48.0
53,4,40.0
53,6,7.0
55,4,28.0
55,6,29.0
55,9,80.0
55,11,1.0
55,14,65.0
55,18,8.0
56,4,18.0
56,6,19.0
56,9,17.0
56,14,43.0
56,18,13.0
57,4,23.0
57,6,11.0
57,9,17.0
57,14,12.0
57,18,2.0
58,4,66.0
58,6,46.0
58,9,25.0
58,14,52.0
58,18,11.0
59,4,6.0
59,6,6.0
59,9,9.0
59,16,1.0
59,18,4.0
60,4,31.0
60,6,22.0
60,9,33.0
60,13,3.0
60,14,33.0
60,18,6.0
61,6,5.0
61,9,49.0
61,18,1.0
63,4,17.0
63,6,21.0
63,9,13.0
63,13,12.0
63,14,8.0
63,18,20.0
64,4,10.0
64,6,16.0
64,9,43.0
64,10,2.0
64,14,23.0
64,18,5.0
65,4,6.0
65,6,12.0
65,9,87.0
65,13,3.0
65,14,16.0
65,18,13.0
66,1,1.0
66,4,5.0
66,6,14.0
66,9,76.0
66,13,9.0
66,14,34.0
66,18,2.0
67,4,7.0
67,6,4.0
67,9,5.0
67,18,2.0
69,4,36.0
69,6,13.0
69,9,8.0
69,14,17.0
69,18,7.0
70,4,15.0
70,6,6.0
71,6,1.0
72,1,3.0
72,6,6.0
72,9,54.0
72,13,6.0
72,18,4.0
73,4,50.0
73,6,17.0
73,9,28.0
73,14,25.0
73,16,4.0
73,18,19.0
73,19,1.0
74,4,50.0
74,6,14.0
74,9,18.0
74,11,1.0
74,14,71.0
74,16,3.0
74,18,26.0
74,19,4.0
75,4,12.0
75,6,6.0
75,9,4.0
75,18,4.0
78,4,174.0
78,6,96.0
78,9,107.0
78,18,14.0
78,19,6.0
80,4,33.0
80,6,27.0
80,9,55.0
80,14,67.0
80,18,8.0
81,4,25.0
81,6,24.0
81,9,51.0
81,14,19.0
81,18,20.0
81,19,1.0
82,1,4.0
82,4,124.0
82,6,73.0
82,9,137.0
82,14,20.0
82,18,22.0
82,19,1.0
83,1,1.0
83,6,9.0
83,9,33.0
83,13,6.0
83,14,53.0
83,18,4.0
84,6,4.0
84,9,3.0
84,14,14.0
84,18,3.0
85,4,27.0
85,6,18.0
85,9,18.0
85,16,5.0
85,18,4.0
86,1,10.0
86,4,9.0
86,6,9.0
86,9,90.0
86,18,5.0
88,6,2.0
89,4,3.0
89,6,2.0
89,9,6.0
89,18,1.0
90,1,1.0
90,4,4.0
90,6,11.0
90,9,141.0
90,13,10.0
90,16,2.0
