user_id,behavioural_data,clicks
20,6,12
20,9,39
20,16,3
20,18,1
21,6,8
21,16,2
22,6,3
24,6,1
26,6,1
26,16,1
28,6,12
28,9,18
28,14,23
28,18,3
29,6,4
29,9,5
29,14,12
30,6,5
30,9,11
30,14,13
32,6,2
32,14,12
32,18,1
33,6,1
36,6,11
36,9,18
36,16,4
36,18,1
38,6,1
38,16,4
38,18,4
40,6,1
42,6,1
42,9,7
43,6,4
43,9,2
43,14,15
43,18,1
45,6,5
45,14,12
47,4,11
47,6,25
47,9,69
47,16,3
47,18,3
49,4,3
49,6,8
49,9,4
52,6,2
52,9,5
54,6,2
54,9,8
56,4,86
56,5,3
56,6,149
56,9,353
56,14,26
56,16,27
56,18,12
58,6,19
58,9,62
58,14,39
59,6,3
59,9,14
62,6,1
63,6,2
63,9,3
64,5,1
64,6,2
64,9,4
66,6,9
66,9,9
66,16,1
67,4,6
67,6,1
71,6,18
71,9,67
71,14,11
71,18,4
73,6,5
76,6,1
76,9,34
78,6,4
79,6,16
79,9,47
79,14,24
79,16,1
79,18,1
80,6,1
80,14,17
81,6,11
81,9,39
81,14,24
81,18,4
82,6,2
82,9,6
82,14,1
82,16,1
83,6,1
84,6,4
84,9,14
88,5,1
88,6,4
88,9,10
88,14,11
89,6,2
89,9,6
97,6,2
97,9,7
100,6,4
101,4,5
101,6,9
101,9,4
101,14,45
101,16,2
104,6,9
104,9,1
104,14,14
108,4,30
108,6,9
108,9,20
112,6,1
112,9,6
112,18,2
114,6,7
114,9,22
114,14,17
116,6,5
116,9,4
116,18,1
117,4,18
117,6,22
117,9,61
117,14,26
117,18,3
118,6,5
118,9,34
118,14,19
118,16,5
121,6,8
121,9,31
121,14,17
121,18,4
122,6,1
123,4,2
123,6,11
123,9,12
123,14,13
124,5,1
124,6,9
124,9,34
124,14,13
125,6,10
125,9,42
125,14,73
126,6,5
126,9,21
126,14,28
127,6,5
127,9,6
127,14,13
130,6,1
130,9,2
134,6,7
134,9,80
134,16,3
136,6,1
136,14,1
138,6,5
138,9,6
138,14,13
138,16,1
138,18,1
139,4,3
139,6,5
139,14,1
139,18,2
142,6,3
142,9,1
142,16,1
150,6,1
150,16,1
152,6,6
152,9,4
152,14,19
152,16,3
153,6,17
153,9,15
153,14,1
153,16,2
153,18,8
155,6,13
155,9,17
155,14,25
155,18,2
157,6,2
157,9,10
162,6,1
167,6,3
167,9,5
167,14,17
172,6,1
174,6,2
176,6,1
179,6,4
179,9,4
183,6,4
183,9,16
183,14,23
186,4,4
186,6,20
186,9,28
186,14,26
186,16,3
187,4,4
187,6,13
187,9,2
187,14,17
187,18,2
188,4,12
188,6,5
188,9,11
188,14,21
193,6,6
193,9,26
193,14,16
194,6,4
194,9,30
196,6,14
196,14,15
197,6,5
197,9,6
200,4,6
200,6,2
203,6,5
203,9,7
203,18,2
204,5,5
204,6,13
204,9,61
204,14,22
204,16,3
204,18,5
205,6,2
205,14,17
206,4,13
206,5,1
206,6,15
206,9,9
206,16,2
206,18,7
207,6,1
207,16,1
208,6,14
208,9,358
208,14,18
208,18,5
209,6,24
209,9,77
209,14,42
209,16,1
209,18,2
211,6,1
212,4,90
212,6,6
212,9,14
212,14,1
212,18,9
213,6,1
213,9,9
214,6,1
221,6,19
221,9,3
221,14,54
221,18,1
222,6,5
222,9,6
222,16,2
223,6,2
225,16,5
226,6,6
226,9,4
226,16,2
227,4,30
227,6,27
227,9,6
227,14,29
227,16,3
227,18,1
229,6,6
229,9,2
229,16,2
234,6,11
234,9,12
234,14,17
234,16,3
234,18,2
237,6,13
237,9,44
238,6,2
238,9,2
240,4,13
240,6,12
240,9,50
240,14,12
241,4,29
241,6,16
241,9,37
241,18,1
242,6,22
242,9,53
242,14,34
242,16,11
242,18,1
243,6,2
243,9,7
244,6,3
244,9,1
244,14,17
244,18,1
249,6,7
249,9,20
249,14,32
251,6,6
251,9,17
251,16,1
251,18,1
253,6,23
253,9,56
253,14,35
253,16,5
253,18,1
254,6,11
254,9,17
254,14,25
254,16,4
254,18,1
255,6,3
255,9,23
255,14,1
256,6,8
256,9,9
256,14,21
257,6,1
257,14,5
257,18,1
260,6,1
262,6,7
262,16,2
265,6,5
265,9,25
265,14,30
268,4,10
268,6,11
268,9,4
268,16,1
269,6,16
269,9,32
269,14,12
269,16,1
271,6,1
274,6,3
274,9,17
274,14,11
275,6,3
275,14,19
277,4,6
277,6,5
277,9,2
277,18,1
279,6,1
280,6,5
280,9,39
280,14,29
283,4,2
283,6,12
283,9,1
283,14,3
283,16,1
283,18,2
285,5,1
285,6,5
285,9,3
285,14,29
286,6,3
286,16,21
291,4,2
291,6,18
291,9,46
291,14,27
291,16,1
291,18,3
297,6,15
297,9,10
297,16,6
298,6,1
298,9,9
298,18,2
300,6,6
300,9,52
301,6,17
301,9,64
301,14,31
302,6,3
302,9,6
303,4,20
303,6,5
303,9,8
303,18,2
306,4,12
306,6,12
306,9,36
306,14,42
306,16,2
308,4,26
308,6,24
308,9,174
308,14,8
310,6,2
310,9,13
310,14,24
311,6,3
311,9,4
312,6,10
312,9,18
312,14,11
312,16,3
312,18,1
313,4,5
313,6,4
313,9,2
314,4,4
314,6,13
314,9,4
314,14,10
314,16,1
317,6,12
317,9,31
318,6,6
318,9,7
318,16,1
318,18,1
328,5,1
328,6,14
328,9,39
328,14,12
328,16,1
328,18,1
330,6,4
330,9,2
330,14,14
334,4,1
334,6,6
337,6,11
337,9,42
337,14,33
337,16,1
338,6,3
338,9,11
338,14,17
339,5,1
339,6,9
339,9,14
339,14,1
339,16,1
340,4,17
340,6,19
340,9,45
340,14,25
