user_id,behavioural_data,clicks
20,6,2.0
20,9,6.0
22,6,2.0
24,6,1.0
26,4,4.0
26,6,10.0
26,9,16.0
26,18,1.0
27,4,27.0
27,6,10.0
27,9,1.0
29,6,1.0
32,6,2.0
32,9,5.0
33,4,6.0
33,6,5.0
33,9,15.0
34,0,8.0
34,6,9.0
34,9,26.0
42,4,30.0
42,6,21.0
42,9,1.0
42,18,1.0
43,6,4.0
47,4,37.0
47,6,16.0
48,6,10.0
48,9,8.0
48,18,2.0
51,4,3.0
51,6,1.0
52,6,2.0
52,9,4.0
53,6,3.0
53,9,1.0
53,16,4.0
53,18,3.0
54,4,51.0
54,6,29.0
54,9,47.0
54,16,21.0
54,18,5.0
54,19,4.0
56,4,4.0
56,6,6.0
56,9,13.0
56,18,1.0
56,19,1.0
59,4,17.0
59,6,7.0
59,9,3.0
59,18,2.0
60,4,18.0
60,6,9.0
60,9,2.0
70,6,10.0
70,9,15.0
70,18,2.0
70,19,2.0
71,4,6.0
71,6,2.0
72,4,2.0
72,6,4.0
72,9,13.0
72,18,1.0
73,4,7.0
73,6,3.0
74,6,1.0
74,9,5.0
76,4,8.0
76,6,20.0
76,9,39.0
76,18,4.0
79,6,2.0
79,9,4.0
80,6,4.0
80,9,2.0
80,18,3.0
80,19,2.0
82,6,1.0
83,4,1.0
83,6,3.0
83,9,22.0
86,4,21.0
86,6,3.0
86,18,2.0
86,19,2.0
92,4,24.0
92,6,18.0
92,9,81.0
92,18,2.0
92,19,2.0
95,4,58.0
95,6,48.0
95,9,13.0
95,18,6.0
95,19,3.0
97,6,1.0
101,6,8.0
101,9,26.0
101,16,1.0
102,4,49.0
102,6,15.0
102,9,8.0
102,18,1.0
106,4,6.0
106,6,10.0
106,9,15.0
106,18,4.0
106,19,3.0
109,6,3.0
109,9,6.0
109,18,1.0
109,19,1.0
111,6,4.0
111,9,9.0
111,18,7.0
113,4,4.0
113,6,5.0
114,6,6.0
114,9,3.0
115,4,19.0
115,6,5.0
117,4,28.0
117,6,3.0
118,6,2.0
118,9,5.0
119,6,1.0
119,18,1.0
119,19,1.0
123,6,2.0
123,9,3.0
123,18,3.0
124,4,8.0
124,6,10.0
124,9,32.0
125,6,2.0
125,9,21.0
129,4,3.0
129,6,9.0
129,9,23.0
129,16,1.0
129,18,7.0
132,4,6.0
132,6,6.0
132,9,2.0
132,18,3.0
132,19,3.0
133,6,4.0
133,9,9.0
134,6,1.0
134,9,6.0
135,6,2.0
135,9,1.0
135,18,2.0
136,4,2.0
136,6,9.0
136,9,18.0
140,6,8.0
140,16,1.0
143,6,7.0
143,9,32.0
143,18,10.0
143,19,4.0
146,6,4.0
146,9,10.0
147,6,7.0
147,9,63.0
149,4,50.0
149,6,27.0
149,9,21.0
149,18,1.0
149,19,1.0
150,4,46.0
150,6,21.0
150,9,25.0
153,6,1.0
154,6,1.0
154,9,6.0
155,4,1.0
155,6,26.0
155,9,22.0
155,18,14.0
155,19,14.0
156,4,2.0
156,6,3.0
156,9,2.0
156,18,1.0
156,19,2.0
157,6,6.0
157,9,8.0
157,18,1.0
157,19,1.0
158,4,9.0
158,6,14.0
158,9,30.0
160,6,1.0
164,6,4.0
164,9,26.0
165,0,2.0
165,4,49.0
165,5,2.0
165,6,40.0
165,9,24.0
165,18,3.0
167,4,32.0
167,6,12.0
167,9,41.0
167,18,1.0
168,6,7.0
168,9,11.0
168,18,2.0
172,4,3.0
172,6,7.0
172,9,5.0
172,18,1.0
178,6,6.0
178,9,14.0
183,6,2.0
184,6,1.0
184,9,10.0
186,6,14.0
186,9,24.0
186,18,5.0
186,19,5.0
187,4,11.0
187,6,6.0
189,6,2.0
190,6,1.0
191,4,3.0
191,6,2.0
191,9,8.0
191,16,1.0
191,18,2.0
192,4,40.0
192,6,26.0
192,9,70.0
192,18,2.0
192,19,2.0
194,4,29.0
194,6,13.0
194,9,6.0
194,18,3.0
194,19,1.0
197,6,3.0
197,9,12.0
201,4,79.0
201,6,19.0
201,9,5.0
201,16,1.0
201,18,5.0
201,19,1.0
202,6,2.0
202,9,10.0
205,4,13.0
205,6,4.0
209,6,3.0
209,9,10.0
210,4,36.0
210,6,29.0
210,9,71.0
210,16,3.0
210,18,4.0
214,4,24.0
214,6,8.0
214,9,15.0
215,6,2.0
215,9,3.0
216,6,1.0
216,9,1.0
218,4,10.0
218,6,12.0
218,9,37.0
218,18,7.0
218,19,3.0
219,6,8.0
219,9,11.0
220,6,2.0
220,9,5.0
220,18,1.0
220,19,1.0
221,6,5.0
221,9,23.0
221,18,2.0
222,6,1.0
223,4,7.0
223,6,15.0
223,9,38.0
223,18,1.0
229,6,4.0
229,9,12.0
229,18,1.0
232,4,28.0
232,6,26.0
232,9,84.0
232,18,2.0
232,19,1.0
233,6,6.0
233,9,6.0
233,18,2.0
233,19,2.0
236,6,1.0
236,18,1.0
237,6,2.0
239,6,3.0
239,9,14.0
240,6,9.0
240,9,16.0
240,18,4.0
240,19,4.0
241,4,12.0
241,6,2.0
245,4,4.0
245,6,10.0
249,6,13.0
249,9,31.0
249,16,1.0
249,18,4.0
249,19,3.0
251,6,12.0
251,9,55.0
251,18,5.0
251,19,3.0
253,6,2.0
255,4,7.0
255,6,7.0
255,9,6.0
255,18,4.0
255,19,2.0
256,4,7.0
256,6,2.0
256,9,17.0
261,6,12.0
261,9,19.0
262,6,2.0
264,6,4.0
264,9,8.0
265,4,30.0
265,6,13.0
265,9,35.0
266,4,31.0
266,6,19.0
266,9,42.0
266,18,8.0
266,19,4.0
268,6,22.0
268,9,17.0
268,18,7.0
268,19,5.0
273,6,10.0
273,9,58.0
275,9,2.0
277,6,5.0
277,9,15.0
278,6,1.0
279,4,20.0
279,6,5.0
279,9,5.0
280,4,36.0
280,6,12.0
280,9,17.0
280,16,3.0
280,18,5.0
280,19,3.0
281,4,69.0
281,6,39.0
281,9,107.0
281,18,1.0
281,19,1.0
282,4,2.0
282,6,3.0
283,6,1.0
283,9,7.0
21,4,29.0
21,6,4.0
23,4,4.0
23,6,12.0
23,16,9.0
23,18,8.0
24,4,182.0
24,6,58.0
24,16,1.0
24,18,3.0
25,6,1.0
26,4,36.0
26,6,6.0
26,18,2.0
27,4,2.0
27,6,2.0
27,14,14.0
36,4,3.0
36,6,3.0
37,4,1.0
37,6,8.0
37,14,1.0
37,16,4.0
37,18,8.0
39,4,94.0
39,6,26.0
39,16,5.0
39,18,13.0
39,19,1.0
40,6,1.0
40,16,1.0
40,18,1.0
41,4,5.0
41,6,3.0
41,14,1.0
42,4,14.0
42,6,3.0
43,4,5.0
43,6,3.0
43,14,1.0
44,4,53.0
44,6,21.0
44,14,13.0
44,16,9.0
44,18,6.0
45,4,21.0
45,6,12.0
45,16,2.0
45,18,18.0
45,19,1.0
46,6,10.0
46,14,14.0
46,16,3.0
46,18,9.0
46,19,2.0
47,4,23.0
47,6,9.0
47,14,16.0
47,16,1.0
47,18,9.0
49,6,5.0
49,14,14.0
49,16,1.0
49,18,4.0
49,19,1.0
51,4,16.0
51,5,1.0
51,6,7.0
51,14,26.0
51,18,1.0
52,4,20.0
52,6,6.0
52,14,12.0
53,4,20.0
53,6,12.0
54,6,5.0
54,14,15.0
55,4,2.0
55,6,4.0
57,4,14.0
57,6,13.0
57,16,11.0
57,18,18.0
60,4,44.0
60,6,19.0
61,4,16.0
61,6,7.0
62,6,5.0
62,16,1.0
62,18,2.0
62,19,2.0
63,6,1.0
63,16,1.0
63,18,1.0
64,4,5.0
64,6,9.0
64,14,14.0
65,4,11.0
65,6,9.0
65,14,19.0
65,18,1.0
67,4,7.0
67,6,3.0
67,18,1.0
72,6,2.0
72,14,12.0
73,6,2.0
77,4,13.0
77,6,5.0
77,14,12.0
78,6,1.0
79,4,7.0
79,6,2.0
81,4,43.0
81,6,9.0
83,6,1.0
83,16,5.0
83,18,3.0
85,4,17.0
85,6,3.0
85,14,4.0
86,6,1.0
86,14,15.0
87,4,7.0
87,6,1.0
89,4,18.0
89,6,12.0
89,16,7.0
89,18,10.0
89,19,1.0
91,6,1.0
91,14,12.0
94,4,19.0
94,6,7.0
94,16,2.0
94,18,1.0
95,4,10.0
95,6,3.0
98,6,3.0
98,14,12.0
100,4,291.0
100,5,2.0
100,6,41.0
100,14,1.0
100,18,1.0
100,19,1.0
104,4,88.0
104,6,28.0
104,14,24.0
104,19,1.0
105,4,30.0
105,6,24.0
105,14,12.0
105,18,2.0
106,4,8.0
106,6,16.0
106,14,13.0
106,16,4.0
106,18,10.0
107,4,5.0
107,6,1.0
108,4,18.0
108,6,4.0
108,18,1.0
108,19,2.0
109,4,123.0
109,6,33.0
110,4,29.0
110,6,12.0
110,18,1.0
112,4,39.0
112,6,29.0
112,14,1.0
112,16,3.0
112,18,6.0
112,19,2.0
113,6,1.0
113,14,13.0
114,4,17.0
114,6,4.0
116,6,3.0
118,4,23.0
118,6,8.0
118,14,14.0
120,4,1.0
120,6,5.0
120,14,14.0
121,4,2.0
122,4,15.0
122,6,4.0
123,4,13.0
123,6,7.0
123,14,12.0
125,4,2.0
125,6,3.0
125,18,1.0
126,6,1.0
128,6,2.0
129,4,36.0
129,6,12.0
129,14,17.0
129,18,1.0
130,4,4.0
130,6,2.0
134,4,38.0
134,6,27.0
134,10,24.0
134,16,1.0
134,18,4.0
134,19,2.0
138,4,1.0
138,6,3.0
138,14,12.0
139,4,54.0
139,6,31.0
139,14,21.0
139,18,2.0
140,4,41.0
140,6,10.0
142,4,4.0
142,6,6.0
142,14,13.0
142,18,1.0
146,4,10.0
146,6,7.0
146,14,14.0
147,4,9.0
147,6,12.0
147,14,19.0
147,16,2.0
147,18,2.0
147,19,1.0
149,4,5.0
149,6,1.0
150,4,43.0
150,6,11.0
150,14,3.0
150,18,1.0
151,4,11.0
151,6,8.0
151,14,1.0
152,4,67.0
152,6,29.0
152,14,11.0
152,16,2.0
152,18,9.0
152,19,1.0
153,4,3.0
153,6,7.0
153,14,21.0
153,18,1.0
155,4,50.0
155,6,13.0
156,4,25.0
156,6,4.0
156,18,1.0
158,4,5.0
158,6,2.0
161,6,1.0
161,18,1.0
162,4,19.0
162,6,20.0
162,14,33.0
162,16,3.0
162,18,6.0
162,19,1.0
163,4,15.0
163,6,6.0
163,16,1.0
163,18,2.0
165,6,2.0
166,6,3.0
168,4,6.0
168,6,4.0
168,16,2.0
168,18,3.0
168,19,1.0
169,4,8.0
169,6,10.0
169,14,14.0
170,4,12.0
170,6,1.0
171,6,1.0
176,6,4.0
176,19,1.0
177,4,13.0
177,6,8.0
177,16,8.0
177,18,10.0
181,4,28.0
181,6,2.0
181,19,1.0
182,4,117.0
182,6,37.0
182,14,13.0
182,18,1.0
182,19,1.0
183,4,1.0
183,6,4.0
183,14,1.0
184,6,4.0
184,18,3.0
184,19,2.0
185,4,2.0
185,6,6.0
185,14,14.0
185,16,1.0
187,4,178.0
187,6,62.0
189,4,5.0
189,6,2.0
191,4,9.0
191,6,5.0
193,4,20.0
193,6,16.0
193,14,13.0
193,19,2.0
195,6,3.0
195,18,2.0
196,4,3.0
196,6,2.0
196,19,1.0
199,4,2.0
199,6,1.0
201,6,4.0
201,14,8.0
203,4,20.0
203,6,11.0
203,14,12.0
203,16,1.0
203,18,1.0
206,6,5.0
206,14,15.0
