user_id,behavioural_data,clicks
20,4,47
20,6,36
20,9,68
20,18,21
20,19,14
21,6,3
21,9,9
23,4,3
23,6,1
23,9,2
24,6,4
24,16,1
25,4,54
25,6,29
25,8,1
25,9,35
25,18,1
26,4,27
26,5,2
26,6,30
26,9,44
26,16,2
26,18,9
26,19,1
27,0,3
27,4,45
27,6,37
27,9,150
27,18,9
27,19,3
28,4,3
28,6,14
28,8,1
28,9,22
28,16,2
28,18,5
28,19,3
29,4,2
29,6,4
30,6,3
30,9,32
30,18,1
31,4,51
31,6,24
31,9,30
31,16,1
31,18,1
32,4,22
32,6,27
32,8,2
32,9,7
32,16,2
32,18,10
32,19,6
33,4,241
33,6,60
33,8,1
33,9,121
33,16,2
33,18,12
33,19,6
34,4,27
34,5,4
34,6,22
34,8,1
34,9,80
34,16,4
34,18,14
34,19,7
36,4,2
36,6,11
36,9,11
36,16,2
36,18,4
36,19,5
37,4,1
37,6,6
37,9,3
37,18,1
38,6,25
38,9,49
38,18,9
38,19,8
39,4,48
39,6,8
39,9,57
39,16,2
39,18,6
40,4,10
40,6,33
40,9,37
40,18,26
40,19,18
41,6,4
41,9,48
41,18,9
42,6,1
43,4,4
43,6,6
43,9,10
43,18,2
43,19,3
45,4,31
45,6,10
45,8,1
45,9,46
45,18,5
47,4,71
47,6,33
47,8,1
47,9,57
47,16,4
47,18,5
48,4,8
48,6,22
48,9,56
48,18,7
48,19,2
49,4,1
49,6,11
49,9,13
49,18,1
50,4,7
50,6,12
50,9,42
50,18,10
50,19,4
51,4,30
51,6,9
51,8,1
51,9,28
51,16,5
51,18,2
51,19,3
52,4,25
52,6,27
52,9,60
52,16,4
52,18,6
53,4,21
53,6,23
53,8,1
53,9,35
53,16,10
53,18,5
53,19,1
54,4,160
54,6,31
54,9,42
54,18,7
54,19,2
55,4,11
55,6,5
55,9,5
55,18,1
57,4,5
57,6,4
57,9,36
57,18,4
58,6,3
58,9,12
58,18,1
58,19,1
59,4,46
59,6,40
59,9,70
59,16,4
59,18,15
59,19,2
60,4,120
60,6,55
60,9,46
60,18,20
60,19,7
61,4,8
61,6,9
61,9,13
61,16,1
61,18,5
61,19,1
62,4,18
62,6,19
62,9,10
62,18,8
62,19,6
64,4,6
64,6,12
64,8,1
64,9,8
64,16,1
64,18,4
65,4,41
65,6,14
65,9,42
65,18,8
65,19,2
68,4,1
68,6,19
68,9,17
68,16,2
68,18,13
68,19,5
69,4,5
69,6,11
69,9,9
69,16,2
69,18,1
69,19,1
70,4,20
70,6,24
70,9,64
70,18,15
70,19,6
71,4,246
71,6,125
71,9,144
71,18,27
71,19,15
72,4,101
72,6,31
72,9,54
72,18,5
72,19,5
73,4,86
73,6,49
73,9,38
73,16,3
73,18,5
73,19,1
74,4,1
74,6,26
74,9,45
74,18,26
74,19,12
75,4,3
75,6,20
75,9,45
75,16,2
75,18,15
75,19,10
76,4,28
76,6,37
76,8,3
76,9,126
76,16,5
76,18,6
78,4,21
78,6,33
78,9,37
78,16,1
78,18,14
78,19,5
79,4,2
79,6,29
79,9,62
79,16,1
79,18,11
80,4,8
80,6,14
80,9,30
80,18,1
81,6,3
81,9,2
81,18,1
81,19,1
82,4,45
82,6,34
82,9,41
82,18,12
82,19,9
83,4,5
83,6,9
83,8,2
83,9,22
83,18,3
83,19,1
84,4,4
84,6,9
84,9,39
84,18,2
85,4,19
85,6,3
85,9,9
85,18,1
86,4,12
86,6,29
86,9,15
86,16,4
86,18,11
86,19,3
89,4,7
89,6,6
89,9,10
90,4,40
90,6,24
90,8,1
90,9,58
90,16,2
90,18,12
90,19,4
91,4,7
91,6,6
91,9,10
91,16,1
91,18,1
92,4,86
92,6,53
92,8,1
92,9,102
92,18,19
92,19,12
93,4,11
93,6,14
93,9,33
93,16,3
93,18,3
94,6,9
94,8,1
94,9,49
94,18,1
95,4,180
95,6,79
95,8,1
95,9,27
95,16,4
95,18,9
95,19,5
96,6,1
97,4,15
97,6,11
97,8,2
97,9,9
97,16,2
98,4,86
98,6,43
98,8,2
98,9,24
98,16,7
98,18,3
98,19,3
99,4,9
99,6,26
99,9,38
99,16,4
99,18,3
99,19,2
100,4,47
100,6,31
100,8,4
100,9,48
100,16,3
100,18,8
100,19,1
101,4,8
101,6,18
101,9,23
101,16,1
102,4,53
102,6,11
103,4,2
103,6,4
103,9,8
106,4,10
106,6,14
106,9,38
106,18,9
106,19,1
107,6,2
108,4,22
108,6,7
108,9,7
109,4,6
109,6,3
109,8,1
112,4,66
112,6,26
112,9,49
112,18,3
113,4,44
113,6,31
113,8,1
113,9,108
113,18,9
113,19,2
114,4,15
114,6,22
114,9,71
114,16,1
114,18,9
114,19,4
115,4,110
115,6,47
115,9,17
115,16,1
115,18,8
115,19,4
117,4,18
117,6,23
117,9,125
117,16,8
117,18,8
117,19,1
118,4,71
118,6,25
118,9,17
118,16,1
119,4,3
119,6,6
119,9,16
119,18,4
119,19,1
121,6,3
121,9,4
121,18,3
122,4,1
122,6,22
122,9,53
122,18,5
122,19,2
124,4,7
124,6,22
124,9,5
124,16,4
124,18,4
125,4,84
125,6,23
125,9,24
125,18,8
125,19,5
126,6,3
126,9,4
126,18,6
128,6,1
128,9,2
129,4,71
129,6,18
129,8,1
129,9,35
129,18,6
129,19,2
130,6,13
130,9,51
130,18,12
130,19,2
131,6,19
131,9,19
131,18,9
131,19,8
132,4,77
132,6,70
132,8,1
132,9,39
132,16,1
132,18,14
132,19,9
133,4,20
133,6,22
133,9,42
133,18,2
133,19,2
134,4,1
134,6,4
134,9,10
134,18,1
134,19,1
135,6,1
135,16,1
135,18,1
136,4,76
136,6,35
136,8,2
136,9,102
138,6,1
138,9,3
138,18,1
139,4,5
139,6,21
139,9,28
139,16,1
139,18,5
139,19,2
140,4,30
140,6,16
140,9,69
140,18,2
140,19,1
141,6,10
141,9,19
141,18,5
141,19,5
142,4,13
142,6,16
142,9,11
142,16,5
142,18,3
143,4,5
143,6,8
143,9,32
143,16,3
143,18,12
143,19,4
144,4,22
144,6,9
144,9,37
144,18,3
144,19,3
146,6,1
146,9,5
146,18,1
147,4,28
147,6,18
147,8,3
147,9,54
147,18,3
147,19,2
148,4,26
148,6,25
148,9,11
149,4,156
149,6,40
149,9,17
149,18,4
149,19,2
150,4,33
150,6,6
150,8,1
152,4,61
152,6,13
152,8,3
152,9,13
152,18,2
152,19,2
153,4,3
153,6,8
153,9,8
153,18,1
154,6,11
154,9,36
155,4,7
155,6,24
155,9,54
155,18,9
155,19,4
156,4,117
156,6,30
156,9,28
156,16,1
156,18,9
156,19,7
157,4,18
157,6,36
157,9,107
157,16,2
157,18,17
157,19,7
158,4,48
158,6,24
158,8,2
158,9,192
158,16,3
158,18,19
158,19,1
159,4,133
159,6,39
159,8,6
159,9,37
159,18,2
159,19,1
160,4,14
160,6,40
160,9,72
160,16,2
160,18,12
160,19,3
161,4,12
161,6,24
161,9,18
161,16,1
162,4,2
162,6,2
162,9,1
163,4,15
163,6,15
163,9,17
163,18,2
164,4,52
164,6,16
164,9,49
164,18,5
164,19,4
165,4,167
165,6,72
165,9,147
165,18,6
165,19,3
166,4,5
166,6,8
166,9,6
166,18,5
166,19,3
167,4,44
167,6,43
167,9,97
167,16,3
167,18,8
168,4,41
168,6,7
168,9,10
168,18,4
170,6,1
171,4,17
171,6,15
171,8,1
171,9,27
171,18,2
172,4,51
172,6,44
172,8,4
172,9,36
172,18,11
172,19,6
173,4,7
173,6,12
173,9,11
173,16,1
173,18,3
174,4,13
174,6,6
174,9,16
174,18,4
174,19,2
175,4,6
175,6,16
175,8,1
175,9,64
175,16,3
175,18,5
176,4,9
176,6,1
177,6,4
177,9,18
178,4,42
178,6,32
178,9,82
178,16,1
178,18,13
178,19,3
180,4,16
180,6,6
180,8,1
180,9,1
180,16,2
181,4,5
181,6,13
181,9,33
181,18,4
181,19,1
182,4,6
182,6,11
182,9,13
182,16,2
182,18,2
182,19,1
183,4,43
183,6,3
183,9,22
184,0,2
184,4,29
184,5,1
184,6,18
184,8,1
184,9,5
184,16,19
184,18,12
184,19,7
185,4,7
185,6,8
185,9,17
185,16,2
185,18,6
185,19,1
186,4,15
186,6,36
186,9,95
186,18,6
186,19,5
187,4,47
187,6,17
187,9,18
188,4,14
188,6,39
188,8,1
188,9,59
188,16,3
188,18,13
188,19,5
189,4,77
189,6,85
189,8,4
189,9,138
189,16,2
189,18,27
189,19,31
190,4,1
190,6,3
191,4,4
191,6,5
191,9,16
191,18,3
192,4,34
192,6,2
192,9,3
192,18,1
193,4,5
193,6,5
193,9,12
193,18,2
194,0,1
194,4,3
194,6,3
194,9,2
194,18,3
194,19,1
