user_id,behavioural_data,clicks
21,4,2.0
21,6,3.0
21,14,12.0
23,6,3.0
23,16,2.0
23,18,2.0
24,4,63.0
24,6,15.0
24,18,1.0
24,19,1.0
26,4,16.0
26,6,8.0
26,16,6.0
26,18,6.0
27,4,7.0
27,6,3.0
27,14,15.0
37,6,4.0
37,14,14.0
37,18,1.0
41,6,2.0
41,14,12.0
42,4,4.0
42,6,3.0
42,16,1.0
42,18,5.0
42,19,2.0
44,4,7.0
44,6,11.0
44,14,14.0
44,16,3.0
44,18,18.0
44,19,3.0
45,4,7.0
45,6,12.0
45,16,4.0
45,18,13.0
45,19,2.0
47,6,5.0
47,14,18.0
47,18,6.0
49,6,16.0
49,14,14.0
49,16,4.0
49,18,21.0
49,19,7.0
50,4,13.0
50,6,7.0
50,18,2.0
50,19,1.0
52,4,8.0
52,6,8.0
52,14,15.0
57,4,13.0
57,6,20.0
57,16,17.0
57,18,31.0
60,4,15.0
60,6,5.0
61,4,7.0
61,6,2.0
61,14,16.0
64,4,8.0
64,6,5.0
65,4,28.0
65,6,7.0
65,14,19.0
67,6,1.0
68,4,6.0
68,6,10.0
68,14,19.0
68,16,7.0
68,18,7.0
68,19,3.0
69,6,1.0
72,4,32.0
72,6,4.0
72,14,12.0
72,18,5.0
72,19,2.0
76,6,2.0
76,18,2.0
76,19,1.0
77,4,14.0
77,6,15.0
77,10,1.0
77,16,3.0
77,18,3.0
77,19,4.0
83,4,17.0
83,6,3.0
85,4,8.0
85,6,9.0
85,16,2.0
85,18,6.0
85,19,1.0
89,4,22.0
89,6,5.0
91,4,2.0
91,6,1.0
94,6,7.0
94,14,20.0
94,18,1.0
95,6,1.0
100,4,18.0
100,6,2.0
104,4,43.0
104,6,15.0
105,4,20.0
105,6,11.0
106,4,3.0
106,6,4.0
107,4,16.0
107,6,15.0
107,16,2.0
107,18,5.0
107,19,2.0
108,4,12.0
108,6,3.0
108,18,5.0
108,19,1.0
110,4,2.0
110,6,2.0
112,4,39.0
112,6,7.0
112,16,1.0
112,18,1.0
114,4,24.0
114,6,5.0
114,14,12.0
114,19,1.0
116,4,3.0
116,6,1.0
118,4,9.0
118,6,9.0
118,14,14.0
122,4,79.0
122,6,21.0
122,16,8.0
122,18,14.0
122,19,1.0
124,6,2.0
124,16,3.0
124,18,5.0
124,19,1.0
129,4,10.0
129,6,3.0
131,4,3.0
131,6,5.0
134,6,1.0
138,4,4.0
138,6,2.0
138,14,1.0
140,4,82.0
140,6,24.0
140,16,7.0
140,18,20.0
140,19,4.0
142,6,3.0
142,14,13.0
146,6,1.0
148,4,5.0
148,6,1.0
151,4,31.0
151,6,6.0
151,18,3.0
151,19,2.0
155,4,69.0
155,6,12.0
155,14,12.0
156,4,21.0
156,6,2.0
158,4,3.0
158,6,2.0
162,6,10.0
162,14,17.0
162,18,2.0
162,19,1.0
163,4,16.0
163,6,14.0
163,14,12.0
163,16,1.0
163,18,3.0
166,4,19.0
166,6,4.0
166,14,14.0
166,18,1.0
168,4,19.0
168,6,6.0
168,19,1.0
170,4,35.0
170,6,16.0
170,14,12.0
170,18,1.0
171,4,4.0
171,6,11.0
171,14,14.0
171,16,4.0
171,18,7.0
175,6,1.0
177,6,3.0
177,16,3.0
177,18,1.0
180,6,13.0
180,14,14.0
180,16,11.0
180,18,14.0
180,19,3.0
181,4,2.0
181,6,4.0
181,16,2.0
181,18,3.0
182,4,26.0
182,6,8.0
182,14,9.0
182,18,1.0
183,6,4.0
183,16,2.0
183,18,2.0
185,4,4.0
185,6,5.0
185,14,14.0
185,18,1.0
189,4,7.0
189,6,2.0
189,14,12.0
191,6,2.0
191,14,17.0
196,4,3.0
196,6,4.0
196,19,1.0
207,4,2.0
207,6,3.0
207,14,1.0
211,6,1.0
217,6,2.0
217,14,15.0
218,6,3.0
218,14,17.0
218,18,1.0
219,4,1.0
219,6,11.0
219,16,3.0
219,18,5.0
220,4,6.0
220,6,3.0
220,14,12.0
223,4,5.0
223,6,2.0
223,18,1.0
224,4,71.0
224,6,25.0
224,14,19.0
224,16,6.0
224,18,21.0
224,19,8.0
232,4,26.0
232,6,8.0
232,14,12.0
232,16,1.0
232,18,2.0
234,4,2.0
234,6,2.0
235,4,17.0
235,6,6.0
235,14,17.0
239,6,1.0
239,16,1.0
239,18,1.0
240,4,108.0
240,6,26.0
240,14,1.0
240,16,4.0
240,18,2.0
242,6,1.0
242,18,1.0
242,19,1.0
244,4,83.0
244,6,9.0
244,14,18.0
244,19,2.0
247,4,12.0
247,6,2.0
251,6,1.0
252,6,1.0
253,4,9.0
253,6,8.0
253,16,4.0
253,18,7.0
255,4,121.0
255,6,52.0
255,14,2.0
255,16,1.0
255,18,3.0
255,19,2.0
256,4,30.0
256,6,8.0
256,18,1.0
268,6,10.0
268,18,2.0
268,19,1.0
270,6,1.0
274,6,3.0
274,14,14.0
274,16,2.0
274,18,4.0
276,4,13.0
276,6,7.0
276,14,17.0
280,6,1.0
285,4,6.0
285,6,2.0
285,16,1.0
285,18,1.0
285,19,1.0
287,4,3.0
287,6,4.0
287,16,1.0
287,18,3.0
287,19,1.0
289,4,10.0
289,6,4.0
290,4,2.0
290,6,1.0
291,4,25.0
291,6,5.0
291,14,12.0
292,4,8.0
292,6,1.0
292,16,1.0
293,4,129.0
293,6,60.0
293,14,20.0
294,4,43.0
294,6,9.0
294,14,18.0
295,6,1.0
296,4,20.0
296,6,7.0
296,14,13.0
300,4,5.0
300,6,21.0
300,18,1.0
301,6,6.0
304,4,7.0
304,6,3.0
305,4,43.0
305,6,5.0
306,6,3.0
306,14,1.0
306,16,1.0
306,18,2.0
308,4,11.0
308,6,4.0
314,6,2.0
316,4,10.0
316,6,12.0
316,16,2.0
316,18,2.0
319,4,73.0
319,6,7.0
319,14,1.0
326,4,116.0
326,6,19.0
326,14,15.0
326,18,13.0
326,19,6.0
328,4,5.0
328,6,4.0
328,14,6.0
328,16,1.0
328,18,6.0
328,19,1.0
330,4,33.0
330,6,16.0
330,16,2.0
330,18,2.0
332,4,54.0
332,6,2.0
333,6,5.0
333,14,15.0
333,18,1.0
335,4,34.0
335,6,19.0
335,14,1.0
335,16,10.0
335,18,20.0
336,6,1.0
339,6,1.0
342,4,4.0
342,6,1.0
345,4,29.0
345,6,8.0
345,18,2.0
345,19,1.0
346,6,2.0
346,14,2.0
346,18,1.0
347,4,6.0
347,6,2.0
348,6,2.0
348,14,20.0
349,4,12.0
349,6,4.0
350,6,5.0
350,16,5.0
350,18,8.0
351,4,29.0
351,6,10.0
353,6,2.0
354,4,8.0
354,6,3.0
354,14,10.0
354,18,1.0
356,4,38.0
356,6,10.0
357,6,1.0
359,6,6.0
359,18,1.0
359,19,1.0
362,4,2.0
362,6,2.0
362,14,13.0
363,4,15.0
363,6,10.0
363,14,12.0
363,16,1.0
363,18,3.0
363,19,1.0
368,4,14.0
368,6,3.0
369,4,129.0
369,6,16.0
369,14,24.0
370,4,15.0
370,6,8.0
370,14,13.0
374,4,63.0
374,6,15.0
374,16,9.0
374,18,16.0
374,19,1.0
377,6,3.0
377,14,20.0
380,6,5.0
380,16,3.0
380,18,6.0
382,4,41.0
382,6,32.0
382,14,12.0
382,19,1.0
383,4,3.0
383,6,2.0
385,4,3.0
385,6,7.0
389,4,4.0
389,6,21.0
389,16,17.0
389,18,27.0
392,6,3.0
392,14,17.0
392,16,4.0
392,18,4.0
393,6,4.0
399,6,7.0
399,14,23.0
399,16,1.0
399,18,1.0
399,19,1.0
408,4,14.0
408,6,11.0
408,18,4.0
409,6,2.0
410,4,7.0
410,6,1.0
414,4,50.0
414,6,11.0
416,6,3.0
416,14,22.0
418,4,1.0
418,6,1.0
419,4,9.0
419,6,6.0
419,16,9.0
419,18,4.0
420,6,1.0
420,18,2.0
420,19,1.0
421,4,30.0
421,6,17.0
421,16,1.0
421,18,1.0
421,19,1.0
425,6,1.0
426,4,219.0
426,6,36.0
426,14,1.0
426,16,7.0
426,18,30.0
426,19,6.0
428,4,11.0
428,6,3.0
428,14,13.0
429,4,8.0
429,6,5.0
429,14,12.0
431,4,11.0
431,6,4.0
431,14,15.0
432,6,1.0
432,14,12.0
434,4,9.0
434,6,1.0
436,4,124.0
436,6,19.0
438,4,11.0
438,6,2.0
439,4,8.0
439,6,3.0
440,4,18.0
440,6,8.0
440,14,12.0
443,6,1.0
444,4,33.0
444,6,7.0
446,4,52.0
446,6,10.0
446,14,19.0
447,4,39.0
447,6,14.0
447,10,2.0
448,4,10.0
448,6,1.0
450,6,2.0
451,4,3.0
451,6,4.0
453,6,4.0
453,14,12.0
453,16,2.0
453,18,2.0
456,4,27.0
456,6,5.0
456,14,20.0
457,4,13.0
457,6,8.0
457,14,20.0
458,4,8.0
458,6,5.0
458,14,1.0
459,4,10.0
459,6,17.0
459,16,8.0
459,18,18.0
459,19,1.0
468,4,9.0
468,6,1.0
468,18,1.0
469,4,56.0
469,6,29.0
469,16,10.0
469,18,13.0
473,4,1.0
473,6,1.0
473,14,1.0
475,4,119.0
475,6,10.0
477,4,10.0
477,6,3.0
482,6,3.0
482,14,41.0
487,4,17.0
487,6,11.0
487,19,1.0
488,4,30.0
488,6,6.0
488,14,12.0
488,18,2.0
492,4,13.0
492,6,4.0
493,4,10.0
493,6,5.0
496,4,5.0
496,6,9.0
496,16,3.0
496,18,4.0
496,19,1.0
499,6,1.0
499,16,1.0
499,18,1.0
502,6,4.0
502,16,2.0
502,19,1.0
503,6,2.0
503,14,1.0
504,4,15.0
504,6,13.0
504,14,14.0
504,18,4.0
504,19,1.0
506,6,2.0
506,14,13.0
512,4,22.0
512,6,1.0
515,4,1.0
515,6,2.0
515,16,1.0
515,18,1.0
521,6,1.0
523,4,112.0
523,6,16.0
524,4,48.0
524,6,24.0
525,4,34.0
525,6,4.0
525,14,1.0
527,4,10.0
527,6,12.0
527,18,3.0
527,19,1.0
534,4,64.0
534,6,17.0
534,18,2.0
535,6,8.0
535,16,8.0
535,18,8.0
540,4,3.0
540,6,1.0
545,4,104.0
545,6,20.0
546,4,20.0
546,6,4.0
547,4,3.0
547,6,1.0
547,14,13.0
547,18,1.0
548,6,6.0
548,14,1.0
548,18,1.0
550,4,230.0
550,6,10.0
551,4,20.0
551,6,12.0
551,14,14.0
551,16,5.0
551,18,4.0
552,4,9.0
552,6,8.0
552,14,15.0
552,18,7.0
552,19,4.0
556,14,12.0
557,6,3.0
557,14,21.0
558,4,8.0
558,6,3.0
560,4,6.0
560,6,10.0
560,16,7.0
560,18,9.0
560,19,1.0
564,4,11.0
564,6,4.0
564,19,1.0
565,6,3.0
565,14,18.0
569,4,17.0
569,6,14.0
569,14,15.0
578,6,1.0
579,4,2.0
579,6,3.0
580,6,1.0
582,4,7.0
582,6,4.0
582,18,2.0
583,4,3.0
583,6,3.0
583,14,8.0
591,4,51.0
591,6,8.0
592,4,86.0
592,6,14.0
597,4,8.0
597,6,3.0
602,4,67.0
602,6,12.0
602,16,4.0
602,18,3.0
603,6,1.0
603,18,2.0
604,4,14.0
604,6,3.0
605,6,1.0
605,14,1.0
606,4,7.0
606,6,4.0
607,4,58.0
607,6,36.0
607,18,1.0
608,6,1.0
608,18,1.0
608,19,1.0
610,6,1.0
611,4,64.0
611,6,7.0
613,6,1.0
613,14,13.0
620,6,12.0
620,18,2.0
620,19,1.0
622,4,201.0
622,6,14.0
622,16,1.0
622,18,14.0
622,19,4.0
624,6,2.0
624,14,12.0
625,4,54.0
625,6,8.0
