user_id,behavioural_data,clicks
23,4,11.0
23,6,7.0
23,16,4.0
23,18,3.0
26,6,17.0
28,6,1.0
28,16,1.0
28,18,1.0
31,6,2.0
33,4,4.0
33,6,22.0
33,9,7.0
33,14,84.0
33,16,2.0
33,18,8.0
33,19,2.0
34,6,28.0
34,16,5.0
34,18,6.0
35,4,9.0
35,6,20.0
35,8,1.0
35,9,46.0
35,14,19.0
35,18,4.0
37,4,31.0
37,6,8.0
37,16,4.0
37,18,3.0
38,4,3.0
38,6,12.0
38,9,26.0
38,16,2.0
38,18,3.0
41,4,80.0
41,6,75.0
41,9,25.0
41,14,159.0
41,16,6.0
41,18,6.0
43,6,4.0
44,4,50.0
44,6,36.0
44,8,1.0
44,9,3.0
44,14,44.0
44,16,4.0
44,18,15.0
48,6,1.0
53,6,3.0
56,6,3.0
56,16,2.0
57,4,3.0
57,6,2.0
60,4,18.0
60,6,16.0
60,14,20.0
60,16,2.0
60,18,8.0
61,4,36.0
61,6,13.0
61,14,9.0
61,16,11.0
61,18,17.0
66,6,11.0
66,16,1.0
66,18,1.0
69,4,3.0
69,6,1.0
70,6,25.0
70,9,8.0
70,16,20.0
70,18,19.0
70,19,1.0
73,4,42.0
73,6,2.0
73,14,2.0
73,16,6.0
73,18,14.0
73,19,1.0
74,6,2.0
74,16,3.0
74,18,5.0
76,4,5.0
76,6,6.0
76,18,1.0
79,4,15.0
79,6,10.0
79,8,1.0
79,16,3.0
79,18,2.0
82,4,14.0
82,6,40.0
82,9,19.0
82,14,60.0
82,16,9.0
82,18,8.0
82,19,1.0
83,6,6.0
83,9,1.0
83,16,2.0
83,18,1.0
84,4,9.0
84,6,23.0
84,16,1.0
87,4,23.0
87,6,3.0
88,4,5.0
88,6,11.0
88,9,22.0
88,16,5.0
88,18,3.0
93,6,5.0
93,14,27.0
93,16,2.0
93,18,3.0
97,16,24.0
99,4,14.0
99,6,44.0
99,9,53.0
99,14,9.0
99,16,20.0
99,18,33.0
99,19,2.0
102,6,1.0
102,14,27.0
102,18,1.0
103,6,2.0
103,14,27.0
103,16,2.0
103,18,3.0
104,6,1.0
111,6,4.0
113,4,97.0
113,6,81.0
113,9,8.0
113,14,50.0
113,16,4.0
113,18,21.0
117,6,1.0
118,6,1.0
119,4,5.0
119,6,3.0
119,16,3.0
119,18,4.0
121,4,4.0
121,6,11.0
121,8,1.0
121,9,8.0
121,12,1.0
