user_id,behavioural_data,clicks
21,2,1
21,6,6
21,9,14
21,16,2
21,18,4
22,2,1
22,4,5
22,6,9
22,9,13
22,10,3
22,16,1
22,18,6
23,6,2
24,6,3
24,9,4
24,16,2
24,18,1
25,4,36
25,6,12
25,9,1
25,10,12
25,11,5
25,16,2
25,18,6
25,19,1
26,6,6
26,16,6
26,18,11
29,2,5
29,4,17
29,6,27
29,9,13
29,16,2
29,18,29
29,19,3
30,6,3
30,9,3
30,16,2
30,18,2
30,19,1
31,4,3
31,6,2
32,4,2
32,6,9
32,9,13
32,16,4
32,18,6
32,19,1
33,16,3
35,6,3
35,9,3
35,16,1
35,18,7
36,2,7
36,4,12
36,6,24
36,9,28
36,11,23
36,16,5
36,18,18
36,19,3
38,4,9
38,6,9
38,9,3
38,11,8
38,19,1
39,2,1
39,4,3
39,6,20
39,9,24
39,11,4
39,16,7
39,18,20
39,19,2
40,6,3
40,9,10
40,16,2
41,2,27
41,4,44
41,6,245
41,9,14
41,16,5
41,18,134
41,19,113
42,4,9
42,6,6
42,9,11
42,11,9
42,16,7
42,18,12
43,4,22
43,6,3
43,9,7
43,16,3
43,18,4
47,2,1
47,4,9
47,6,12
47,9,5
47,16,9
47,18,1
50,4,5
50,6,4
52,2,2
52,4,30
52,6,33
52,9,26
52,10,9
52,16,4
52,18,20
52,19,2
53,4,4
53,5,8
53,6,24
53,9,6
53,16,12
53,18,51
53,19,2
57,2,4
57,6,6
57,16,3
57,18,13
59,4,11
59,6,6
60,2,3
60,4,9
60,6,6
60,9,10
60,16,3
60,18,7
61,4,1
61,6,12
61,9,8
61,16,1
61,18,3
64,2,3
64,4,13
64,6,34
64,9,41
64,16,6
64,18,3
64,19,3
65,6,12
65,9,13
65,10,12
65,16,1
67,2,1
67,6,13
67,9,13
67,11,16
67,16,3
67,18,1
70,4,9
70,6,3
70,10,1
70,11,1
70,18,2
70,19,1
71,4,3
71,6,12
71,9,4
73,2,2
73,6,6
73,18,2
75,4,6
75,6,9
76,2,2
76,4,16
76,6,19
76,9,28
76,10,2
76,11,13
76,16,13
76,18,2
77,4,1
77,6,7
77,9,7
77,18,1
78,2,2
78,4,35
78,6,41
78,9,3
78,11,18
78,16,2
78,18,6
78,19,1
79,2,7
79,4,51
79,6,32
79,9,27
79,11,2
79,16,11
79,18,37
79,19,11
82,2,3
82,4,3
82,6,13
82,9,3
82,16,1
82,18,5
83,6,3
84,2,4
84,4,7
84,6,12
84,9,6
84,18,11
84,19,3
86,2,2
86,4,5
86,6,12
86,9,4
86,16,3
86,18,5
87,2,2
87,4,10
87,6,25
87,9,5
87,11,4
87,16,6
87,18,32
87,19,4
90,6,4
92,6,4
92,10,5
92,18,1
93,2,4
93,4,5
93,6,11
93,11,6
93,16,9
93,18,27
93,19,3
94,4,30
94,6,27
94,9,8
94,11,30
94,16,11
94,18,24
94,19,4
95,2,1
95,4,15
95,6,8
95,9,4
95,16,2
95,18,1
96,2,1
96,6,4
96,9,6
96,18,1
97,2,4
97,4,16
97,6,9
97,10,6
97,18,5
98,2,1
98,4,18
98,6,27
98,9,3
98,11,3
98,16,6
98,18,19
98,19,2
99,4,48
99,6,14
99,9,2
99,10,2
99,11,8
99,16,3
99,18,6
99,19,7
100,2,9
100,4,27
100,5,8
100,6,44
100,9,5
100,16,2
100,18,45
100,19,1
101,2,1
101,4,9
101,6,21
101,9,8
101,18,1
102,6,15
102,9,21
102,10,2
102,11,22
102,16,2
102,18,14
103,6,2
104,6,1
106,4,11
106,6,4
106,9,2
106,11,3
106,16,2
106,18,6
106,19,1
107,2,2
107,4,49
107,6,85
107,9,35
107,11,13
107,16,10
107,18,44
107,19,2
108,2,2
108,6,8
108,9,11
108,16,2
108,18,8
108,19,1
110,6,3
110,9,8
110,18,1
111,2,1
111,4,93
111,6,8
111,9,6
111,11,2
111,16,2
111,18,2
114,6,1
115,4,28
115,6,25
115,9,24
115,11,50
115,16,10
115,18,9
115,19,4
116,4,9
116,6,12
116,9,9
116,11,4
116,16,14
116,18,17
116,19,2
117,2,2
117,6,7
117,9,4
117,16,3
117,18,25
117,19,1
119,4,20
119,6,9
119,10,1
120,2,1
120,6,11
120,9,1
120,10,4
120,18,2
121,2,1
121,4,24
121,6,32
121,9,1
121,11,3
121,18,2
122,2,2
122,4,74
122,6,64
122,9,8
122,10,11
122,11,16
122,16,6
122,18,6
122,19,18
123,6,1
125,2,1
125,4,5
125,6,10
125,16,1
125,18,5
126,2,1
126,4,1
126,6,4
126,11,1
126,16,2
126,18,1
128,2,1
128,4,32
128,6,12
128,9,7
128,10,1
128,11,21
128,16,6
128,18,12
129,2,3
129,4,10
129,6,23
129,9,2
129,16,2
129,18,5
130,2,1
130,4,7
130,6,6
130,9,4
130,16,2
130,18,15
131,4,3
131,6,7
134,4,9
134,6,4
134,10,5
135,2,3
135,6,12
135,9,3
135,16,5
135,18,42
135,19,15
136,4,9
136,6,14
136,9,5
136,10,1
136,16,7
136,18,2
137,2,2
137,4,52
137,6,45
137,9,26
137,16,3
137,18,27
137,19,1
138,4,4
138,6,18
138,16,4
138,18,38
138,19,5
139,2,6
139,4,4
139,6,31
139,18,20
139,19,15
140,2,1
140,4,11
140,6,7
140,18,3
141,4,7
141,5,15
141,6,16
141,9,2
141,10,2
141,16,5
141,18,10
142,4,13
142,5,25
142,6,13
142,18,12
142,19,2
144,2,1
144,4,32
144,6,24
144,9,4
144,16,10
144,18,19
144,19,12
145,2,10
145,4,15
145,6,34
145,9,30
145,16,3
145,18,14
146,6,9
146,9,8
146,16,7
146,18,10
146,19,6
148,2,3
148,4,3
148,6,10
148,9,4
148,11,4
148,16,1
148,18,3
150,2,2
150,4,39
150,6,67
150,9,24
150,11,2
150,16,2
150,18,4
150,19,1
151,4,7
151,6,5
151,9,4
151,18,8
152,6,1
153,2,5
153,4,9
153,6,15
153,9,11
153,10,3
153,11,14
153,16,4
153,18,12
153,19,1
154,2,1
154,4,4
154,6,6
154,9,24
154,11,6
154,16,4
154,18,12
155,4,6
155,6,1
