user_id,behavioural_data,clicks
21,4,3
21,6,5
21,9,8
21,14,1
21,18,1
23,4,107
23,6,41
23,8,1
23,9,12
23,11,1
23,14,3
23,18,4
23,19,2
24,6,4
24,9,10
24,14,2
24,16,2
24,18,2
25,6,1
25,9,5
26,4,6
26,6,2
27,6,2
27,14,1
28,6,7
28,9,17
28,11,1
28,14,9
28,18,1
30,4,14
30,6,13
30,9,47
30,11,1
30,14,10
30,18,2
33,4,13
33,6,7
33,14,1
36,6,5
36,14,2
36,19,1
37,4,6
37,6,4
37,9,2
40,6,3
40,9,5
42,6,2
42,9,19
44,4,25
44,6,12
44,9,9
44,14,1
48,4,18
48,6,1
48,11,1
49,4,3
49,6,3
52,4,18
52,6,9
52,11,1
52,14,1
52,19,1
53,4,8
53,6,9
53,9,2
53,16,1
53,18,2
56,6,2
56,9,8
57,6,11
57,9,19
57,11,41
57,18,5
57,19,1
60,6,9
60,9,33
60,14,59
61,4,10
61,6,26
61,9,37
61,11,3
61,14,67
61,19,2
62,6,1
63,6,6
63,9,23
65,4,30
65,6,10
65,9,2
65,14,10
65,18,1
66,6,4
66,14,11
66,16,1
66,18,2
67,6,5
67,9,12
67,14,83
67,16,1
67,18,1
68,6,1
68,9,10
69,6,14
69,9,70
69,14,1
71,4,18
71,6,13
71,9,25
71,11,1
71,14,24
71,18,3
72,6,10
72,9,27
72,14,66
72,19,1
73,4,18
73,6,10
73,14,4
74,6,2
74,14,1
76,4,94
76,6,54
76,9,159
76,11,6
76,14,93
76,16,18
76,18,12
76,19,1
80,4,5
80,6,18
80,9,36
80,14,76
80,16,7
80,19,2
82,6,2
82,9,3
82,14,2
82,16,19
85,6,1
85,14,9
88,4,49
88,6,30
88,9,46
88,14,1
88,16,1
88,18,1
91,6,4
91,9,31
91,14,1
92,6,1
93,4,5
93,6,6
93,9,41
93,11,1
93,18,2
93,19,1
94,6,3
94,9,4
95,4,4
95,6,7
95,9,30
95,14,50
95,18,1
96,4,36
96,6,18
96,9,24
96,11,1
96,14,2
96,18,6
97,6,1
98,6,6
98,9,129
98,14,1
99,6,4
99,9,11
99,14,1
100,4,30
100,6,14
100,9,63
100,11,5
100,14,84
100,16,1
100,18,3
101,4,37
101,6,32
101,9,13
101,11,3
101,16,1
101,18,3
101,19,3
104,4,6
104,6,21
104,9,81
104,14,3
110,6,1
110,9,1
110,16,6
111,6,2
111,14,1
112,4,100
112,6,23
112,9,12
112,14,98
113,6,16
113,9,39
113,14,1
115,6,4
115,9,9
115,14,1
117,4,5
117,6,1
119,4,11
119,6,4
119,18,1
121,6,2
121,9,1
122,6,6
122,9,29
126,6,2
126,14,3
127,4,16
127,6,5
127,9,20
128,4,15
128,6,3
128,9,4
128,11,2
128,16,1
128,18,1
128,19,1
129,4,3
129,6,13
129,9,33
129,14,11
131,6,18
131,9,3
131,11,28
132,6,2
132,14,1
133,4,115
133,6,15
133,9,7
133,18,2
133,19,2
137,6,1
137,16,1
137,18,1
138,6,1
138,9,9
138,18,2
139,6,16
139,9,28
139,14,47
139,16,2
139,18,2
140,6,8
140,9,9
140,14,80
141,6,4
141,9,14
142,4,3
142,6,16
142,9,36
142,16,1
142,18,7
143,4,10
143,6,4
145,6,13
145,9,12
145,11,4
145,14,2
147,16,2
148,6,11
148,14,3
151,6,2
151,9,2
151,14,1
152,6,5
152,9,1
152,14,1
153,6,5
153,9,3
153,14,2
154,4,121
154,6,55
154,9,27
154,16,3
154,18,1
159,4,68
159,6,5
159,9,2
160,6,2
160,9,10
161,6,2
162,4,2
162,6,3
162,11,1
163,6,4
163,9,42
164,6,1
164,9,5
166,4,12
166,6,6
166,9,14
166,11,1
166,14,28
167,6,5
167,11,4
168,4,5
168,6,20
168,9,45
168,11,4
168,14,28
168,18,1
168,19,2
170,4,1
170,6,9
170,9,36
171,4,129
171,6,20
171,9,54
171,18,1
173,6,2
173,14,8
174,6,2
174,9,2
178,4,5
178,6,10
178,9,13
178,14,4
178,18,2
178,19,1
179,4,16
179,6,2
179,14,10
179,16,1
179,19,1
181,4,49
181,6,40
181,9,25
181,14,2
181,18,2
181,19,1
182,6,33
182,9,40
182,11,4
182,14,4
184,4,9
184,6,3
184,9,25
184,14,46
185,6,8
185,9,23
185,14,10
189,4,13
189,6,4
189,9,1
189,14,4
190,4,115
190,6,36
190,9,13
190,14,1
190,16,1
190,18,1
192,6,3
192,9,15
194,6,14
194,9,7
194,14,47
197,6,5
197,9,8
197,14,11
198,4,71
198,6,16
198,9,5
198,14,5
198,18,3
199,4,11
199,6,15
199,9,47
200,6,3
200,9,11
200,14,1
203,6,2
203,9,5
203,14,4
205,6,6
205,9,5
205,14,11
205,18,2
207,6,4
207,14,1
210,6,7
210,9,20
210,14,1
211,4,84
211,6,41
211,9,61
211,11,1
211,14,1
211,18,4
213,6,5
213,9,19
213,14,1
213,19,1
214,4,54
214,6,9
214,11,2
214,19,1
216,4,114
216,6,42
216,9,55
216,14,47
216,16,1
216,19,1
217,6,12
217,9,72
217,14,78
217,16,1
217,18,1
218,4,6
218,6,1
218,19,1
219,4,78
219,6,4
219,9,17
219,14,12
219,16,2
219,18,3
220,6,4
220,14,109
223,4,32
223,6,8
223,9,16
223,11,3
223,16,1
225,6,6
225,9,4
225,16,1
225,18,2
225,19,1
229,6,8
229,9,32
230,4,11
230,6,6
230,18,2
230,19,3
231,6,3
231,18,3
231,19,3
232,6,15
232,9,46
232,14,2
233,6,2
234,4,75
234,6,20
234,9,95
234,11,1
234,14,1
234,18,1
236,4,5
236,6,5
236,9,2
237,4,5
237,6,19
237,9,47
237,14,1
237,16,1
237,18,1
239,4,23
239,6,7
239,9,4
239,14,83
239,18,1
241,6,6
241,9,23
241,14,1
241,16,1
245,6,12
245,9,28
245,14,1
245,19,1
247,6,4
247,14,1
248,6,10
248,9,23
248,14,77
248,16,3
249,6,4
249,9,30
249,14,1
253,4,74
253,6,17
253,9,5
253,18,2
254,6,5
254,9,1
254,14,1
255,4,18
255,6,8
255,9,8
255,14,47
255,18,1
260,6,1
260,9,7
261,4,5
261,6,4
261,9,4
262,6,6
262,9,20
262,14,1
265,6,4
265,9,18
265,11,1
275,6,5
275,9,5
275,14,12
277,6,5
277,9,6
277,14,2
278,6,2
280,6,2
282,6,1
282,9,6
291,6,11
291,9,27
291,16,1
293,4,13
293,6,4
293,9,12
293,14,1
295,4,24
295,9,33
295,14,2
296,4,18
296,6,16
296,9,49
296,11,1
296,14,3
296,16,1
296,18,3
297,4,7
297,6,2
297,9,9
297,14,7
297,18,2
303,6,3
303,9,31
303,14,1
303,18,1
306,6,2
306,14,1
308,4,5
308,6,2
310,4,2
310,6,6
310,9,53
310,11,3
310,14,83
310,16,2
311,6,1
311,14,1
312,6,8
312,9,1
312,18,1
314,4,14
314,6,3
314,9,23
315,6,13
315,9,13
315,11,1
315,14,1
315,19,1
317,6,1
317,9,3
320,4,5
320,6,5
320,9,34
321,6,7
321,9,29
321,18,1
322,4,3
322,6,2
325,6,4
325,9,6
325,14,2
329,6,13
329,9,2
329,11,21
329,14,3
329,19,1
332,6,13
332,9,63
332,11,1
332,14,1
332,18,1
332,19,1
334,6,5
334,9,13
334,11,1
334,14,90
335,6,2
335,18,4
335,19,1
336,6,1
336,9,30
336,11,3
338,6,15
338,9,43
338,11,1
338,14,89
339,6,1
340,6,6
340,9,12
340,14,2
341,6,2
341,9,5
341,14,1
341,19,1
342,4,15
342,6,7
342,9,14
342,11,1
342,14,1
342,16,1
342,19,1
343,6,8
343,9,4
343,14,2
345,4,2
345,6,4
345,9,10
345,18,1
347,6,2
347,14,1
350,4,2
350,6,4
350,9,3
350,11,9
352,6,5
352,9,33
352,14,1
352,19,1
354,6,4
354,9,20
354,14,1
357,6,3
357,9,2
357,14,1
360,6,5
360,14,11
363,4,22
363,6,1
363,9,50
363,18,1
365,6,1
365,14,4
365,16,11
368,6,4
368,9,5
371,6,4
371,9,8
371,14,1
371,18,1
371,19,1
375,4,3
375,6,6
375,9,13
375,14,1
377,4,48
377,6,16
377,9,20
377,14,11
377,18,1
378,6,1
378,9,1
379,6,7
379,9,4
379,14,1
382,4,8
382,6,9
382,9,47
382,19,1
383,6,3
383,9,6
383,19,1
384,6,4
384,9,7
384,14,1
384,18,1
384,19,1
386,4,38
386,6,14
386,9,2
386,18,2
388,4,17
388,6,18
388,9,70
