user_id,behavioural_data,clicks
20,4,28.0
20,6,25.0
20,9,22.0
20,10,5.0
20,12,1.0
20,14,111.0
20,16,7.0
20,18,41.0
20,19,7.0
21,4,19.0
21,6,4.0
21,18,4.0
22,4,18.0
22,6,14.0
22,9,11.0
22,14,87.0
22,16,1.0
22,18,16.0
22,19,5.0
23,4,39.0
23,6,7.0
23,18,1.0
24,4,9.0
24,6,11.0
24,9,39.0
24,10,2.0
24,12,3.0
24,14,1.0
24,18,4.0
24,19,1.0
25,4,18.0
25,6,6.0
25,9,14.0
25,12,2.0
25,18,3.0
26,6,2.0
26,9,4.0
26,14,1.0
26,18,4.0
27,4,23.0
27,6,10.0
27,18,3.0
28,4,92.0
28,6,28.0
28,9,13.0
28,14,32.0
28,18,13.0
30,4,54.0
30,6,30.0
30,9,71.0
30,10,1.0
30,11,1.0
30,12,2.0
30,18,32.0
30,19,2.0
31,4,17.0
31,6,4.0
31,9,45.0
31,12,1.0
31,14,2.0
31,16,3.0
31,18,10.0
31,19,2.0
32,4,21.0
32,6,3.0
33,4,54.0
33,6,54.0
33,9,69.0
33,10,3.0
33,11,15.0
33,14,3.0
33,16,10.0
33,18,37.0
33,19,7.0
34,6,1.0
35,4,32.0
35,6,50.0
35,9,126.0
35,13,8.0
35,14,41.0
35,16,9.0
35,18,46.0
35,19,8.0
36,4,4.0
36,6,1.0
36,9,3.0
36,18,3.0
36,19,2.0
37,4,10.0
37,6,3.0
37,9,6.0
37,16,1.0
37,18,1.0
39,6,4.0
39,9,6.0
39,18,1.0
40,4,36.0
40,6,14.0
40,9,25.0
40,12,2.0
40,14,111.0
40,16,1.0
40,18,19.0
40,19,6.0
42,6,22.0
42,9,107.0
42,14,221.0
42,18,16.0
44,6,5.0
44,9,2.0
44,18,2.0
45,6,10.0
45,9,5.0
45,14,13.0
45,18,10.0
45,19,1.0
46,6,1.0
47,4,58.0
47,6,42.0
47,9,33.0
47,12,1.0
47,14,30.0
47,16,2.0
47,18,32.0
47,19,10.0
49,4,78.0
49,6,31.0
49,9,55.0
49,10,3.0
49,12,4.0
49,16,3.0
49,18,22.0
49,19,2.0
50,4,19.0
50,6,16.0
50,9,14.0
50,14,86.0
50,18,9.0
50,19,3.0
51,4,107.0
51,6,89.0
51,9,31.0
51,10,7.0
51,11,17.0
51,12,9.0
51,16,8.0
51,18,92.0
51,19,33.0
52,4,43.0
52,6,14.0
52,9,1.0
52,10,4.0
52,12,1.0
52,14,20.0
52,16,1.0
52,18,5.0
52,19,3.0
53,4,52.0
53,6,29.0
53,9,23.0
53,12,3.0
53,14,126.0
53,16,1.0
53,18,21.0
54,4,10.0
54,6,12.0
54,9,11.0
54,12,2.0
54,16,4.0
54,18,6.0
55,6,3.0
55,9,18.0
55,11,3.0
55,18,4.0
55,19,1.0
56,4,31.0
56,6,38.0
56,9,93.0
56,11,14.0
56,14,40.0
56,16,1.0
56,18,33.0
56,19,3.0
57,4,62.0
57,6,31.0
57,9,1.0
57,14,1.0
57,18,5.0
57,19,1.0
58,4,50.0
58,6,11.0
58,11,1.0
59,4,25.0
59,6,4.0
59,9,13.0
59,16,3.0
59,18,5.0
60,4,9.0
60,6,3.0
60,9,4.0
60,18,3.0
61,4,14.0
61,6,11.0
61,9,29.0
61,12,1.0
61,14,19.0
61,18,6.0
62,6,1.0
62,9,4.0
62,18,1.0
63,4,124.0
63,6,43.0
