user_id,behavioural_data,clicks
20,4,14.0
20,6,12.0
20,9,22.0
20,18,4.0
20,19,4.0
21,4,11.0
21,6,9.0
21,9,6.0
21,18,2.0
21,19,1.0
22,6,1.0
24,4,2.0
24,6,5.0
24,9,1.0
24,18,1.0
25,4,11.0
25,6,18.0
25,9,77.0
25,18,2.0
26,4,3.0
26,5,7.0
26,6,9.0
26,9,14.0
27,4,94.0
27,6,44.0
27,9,79.0
27,18,10.0
27,19,9.0
28,6,5.0
28,9,11.0
28,18,2.0
28,19,2.0
29,6,2.0
31,4,5.0
31,6,10.0
32,4,23.0
32,6,15.0
32,9,18.0
32,18,2.0
32,19,2.0
33,4,18.0
33,6,5.0
33,9,5.0
34,4,14.0
34,5,1.0
34,6,22.0
34,9,66.0
34,16,2.0
34,18,3.0
34,19,1.0
36,6,13.0
36,9,24.0
36,18,3.0
36,19,2.0
37,4,27.0
37,6,36.0
37,9,350.0
37,18,4.0
39,4,5.0
39,6,3.0
39,9,67.0
40,6,8.0
40,9,26.0
40,18,5.0
40,19,3.0
41,6,1.0
41,9,1.0
41,18,1.0
42,4,45.0
42,6,17.0
42,9,6.0
42,18,4.0
43,4,9.0
43,6,10.0
43,9,7.0
43,18,1.0
45,6,21.0
45,9,39.0
45,18,6.0
45,19,1.0
46,6,4.0
47,4,49.0
47,6,29.0
47,9,59.0
47,18,1.0
48,4,6.0
48,6,18.0
48,9,32.0
48,18,2.0
49,6,13.0
49,9,36.0
49,18,8.0
49,19,2.0
50,6,16.0
50,9,77.0
50,18,10.0
50,19,3.0
51,6,13.0
51,9,65.0
51,18,6.0
51,19,2.0
52,4,10.0
52,6,6.0
53,4,7.0
53,6,31.0
53,9,88.0
53,18,8.0
53,19,1.0
54,4,99.0
54,6,24.0
54,9,47.0
54,16,3.0
54,18,1.0
54,19,1.0
55,4,22.0
55,6,25.0
55,9,56.0
55,16,1.0
55,18,4.0
55,19,1.0
56,4,4.0
56,6,14.0
56,9,36.0
56,16,1.0
56,18,13.0
56,19,4.0
57,4,3.0
57,6,7.0
57,9,17.0
57,18,2.0
58,4,9.0
58,6,6.0
58,9,5.0
58,16,2.0
58,18,2.0
59,4,5.0
59,6,14.0
59,9,20.0
59,18,6.0
59,19,4.0
60,0,2.0
60,4,45.0
60,6,42.0
60,9,11.0
60,18,12.0
60,19,5.0
61,6,6.0
61,9,11.0
62,4,2.0
62,6,18.0
62,9,37.0
62,18,9.0
62,19,9.0
64,6,6.0
64,9,9.0
68,6,2.0
69,6,6.0
69,9,13.0
69,18,2.0
70,6,18.0
70,9,41.0
70,18,4.0
70,19,4.0
71,4,83.0
71,6,87.0
71,9,112.0
71,18,23.0
71,19,16.0
72,4,15.0
72,6,22.0
72,9,37.0
72,18,4.0
72,19,3.0
73,4,53.0
73,6,17.0
73,9,30.0
73,18,5.0
73,19,3.0
74,4,7.0
74,6,22.0
74,9,88.0
74,18,10.0
74,19,8.0
76,4,26.0
76,6,20.0
76,9,24.0
76,18,7.0
76,19,5.0
78,4,7.0
78,6,12.0
78,9,17.0
78,16,1.0
78,18,7.0
79,4,9.0
79,6,11.0
79,9,26.0
79,18,1.0
80,6,25.0
80,9,54.0
80,16,5.0
80,18,17.0
80,19,5.0
82,4,11.0
82,6,23.0
82,9,40.0
82,18,6.0
82,19,4.0
83,4,40.0
83,6,40.0
83,9,173.0
83,18,10.0
83,19,6.0
85,4,20.0
85,6,12.0
85,9,14.0
85,18,1.0
86,4,18.0
86,6,17.0
86,9,27.0
86,18,2.0
86,19,2.0
87,6,2.0
87,9,6.0
87,18,1.0
88,6,12.0
88,9,5.0
88,18,3.0
89,4,2.0
89,6,5.0
89,9,8.0
